solv_i_id,solv_i_name,molefrac_i,T,ln_gamma_i
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.2700 / 0.1850 / 0.5450,334.51,0.2484 / 0.1789 / 0.3957
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0800 / 0.1920 / 0.7280,329.33,1.9919 / 0.2249 / 0.0878
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.2090 / 0.1840 / 0.6070,327.39,1.2203 / 0.3626 / 0.1977
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.2850 / 0.1790 / 0.5360,326.93,0.9543 / 0.4354 / 0.2845
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.4330 / 0.1850 / 0.3820,326.39,0.5674 / 0.4852 / 0.5856
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.5430 / 0.1880 / 0.2690,326.17,0.3715 / 0.5446 / 0.8473
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.6500 / 0.1710 / 0.1790,326.03,0.2219 / 0.7487 / 1.0929
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.7570 / 0.1590 / 0.0840,326.38,0.1099 / 0.9291 / 1.4734
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0280 / 0.2820 / 0.6900,332.61,2.5384 / 0.1584 / 0.0605
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0760 / 0.2790 / 0.6450,327.94,2.0623 / 0.2350 / 0.0761
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.1070 / 0.2980 / 0.5950,327.77,1.7305 / 0.2165 / 0.1194
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.3530 / 0.2720 / 0.3750,325.72,0.6912 / 0.4329 / 0.5132
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.4530 / 0.2680 / 0.2790,325.52,0.5215 / 0.4583 / 0.6742
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.5560 / 0.2600 / 0.1840,325.34,0.3420 / 0.5749 / 0.9256
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.6510 / 0.2600 / 0.0890,325.25,0.1968 / 0.7181 / 1.2933
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0310 / 0.3670 / 0.6020,331.77,2.4408 / 0.1270 / 0.0541
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.1350 / 0.3640 / 0.5010,327.09,1.4877 / 0.2080 / 0.1808
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.2510 / 0.3590 / 0.3900,325.73,1.0226 / 0.2610 / 0.3401
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.3560 / 0.3650 / 0.2790,325.11,0.7092 / 0.3289 / 0.5776
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.4650 / 0.3470 / 0.1880,324.23,0.4906 / 0.4905 / 0.8194
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.5610 / 0.3460 / 0.0930,324.58,0.2494 / 0.6542 / 1.0352
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0430 / 0.4560 / 0.5010,329.3,2.2693 / 0.1293 / 0.0976
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.1250 / 0.4680 / 0.4070,326.42,1.5495 / 0.1414 / 0.2274
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.2640 / 0.4480 / 0.2880,325.16,0.9422 / 0.2345 / 0.4511
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.3630 / 0.4430 / 0.1940,324.6,0.6527 / 0.3390 / 0.6669
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.4660 / 0.4410 / 0.0930,324.21,0.4618 / 0.4318 / 0.9769
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0430 / 0.5490 / 0.4080,329.12,2.1671 / 0.1223 / 0.0839
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.1410 / 0.5570 / 0.3020,325.78,1.4132 / 0.1225 / 0.3319
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.2590 / 0.5440 / 0.1970,324.74,0.9132 / 0.2164 / 0.5506
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.3670 / 0.5420 / 0.0910,324.19,0.6266 / 0.3046 / 0.9085
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0500 / 0.6420 / 0.3080,328.35,2.0333 / 0.0603 / 0.2278
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.1480 / 0.6450 / 0.2070,325.34,1.3575 / 0.1027 / 0.4133
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.2660 / 0.6330 / 0.1010,324.55,0.8851 / 0.1848 / 0.6895
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0600 / 0.7360 / 0.2040,327.41,1.9093 / 0.0370 / 0.3286
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.1630 / 0.7350 / 0.1020,325.16,1.2637 / 0.0783 / 0.5584
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0650 / 0.8350 / 0.1000,327.17,1.8069 / 0.0199 / 0.4380
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0270 / 0.9200 / 0.0530,328.82,2.0893 / 0.0407 / 0.5469
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.9150 / 0.0470 / 0.0380,330.79,0.0171 / 1.1617 / 1.9721
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.0020 / 0.0500 / 0.9480,344.02,4.0779 / 0.2505 / -0.0027
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.3180 / 0.3500 / 0.3320,325.61,0.8211 / 0.2468 / 0.5151
kdb_solvent_1 / kdb_solvent_18 / kdb_solvent_19,ETHANOL / BENZENE / N-HEPTANE,0.1640 / 0.3960 / 0.4400,326.25,1.3719 / 0.1857 / 0.2303
kdb_solvent_60 / kdb_solvent_13 / kdb_solvent_32,N-HEXANE / METHANOL / ACETONE,0.0937 / 0.1062 / 0.8001,313.15,1.4523 / 0.6315 / 0.0308
