solv_i_id,molefrac_i,ln_gamma_i
solvent_138 / solvent_704,0.00 / 1.00,0.691050160 / 0.000000000
solvent_39 / solvent_294,0.00 / 1.00,0.423152570 / 0.000000000
solvent_44 / solvent_704,0.00 / 1.00,6.088246100 / 0.000000000
solvent_88 / solvent_819,0.00 / 1.00,0.231365990 / 0.000000000
solvent_670 / solvent_818,0.00 / 1.00,1.309765930 / 0.000000000
solvent_339 / solvent_469,0.00 / 1.00,-0.472228710 / 0.000000000
solvent_237 / solvent_650,0.00 / 1.00,0.049974360 / 0.000000000
solvent_435 / solvent_500,0.00 / 1.00,-0.039470310 / 0.000000000
solvent_111 / solvent_113,0.00 / 1.00,0.193675790 / 0.000000000
solvent_335 / solvent_620,0.00 / 1.00,0.376281900 / 0.000000000
solvent_71 / solvent_577,0.00 / 1.00,1.540482410 / 0.000000000
solvent_376 / solvent_701,0.00 / 1.00,-0.602864170 / 0.000000000
solvent_809 / solvent_811,0.00 / 1.00,-0.404857950 / 0.000000000
solvent_226 / solvent_436,0.00 / 1.00,-0.037371270 / 0.000000000
solvent_204 / solvent_417,0.00 / 1.00,-0.489565870 / 0.000000000
solvent_511 / solvent_580,0.00 / 1.00,1.055683140 / 0.000000000
solvent_136 / solvent_418,0.00 / 1.00,0.588250150 / 0.000000000
solvent_229 / solvent_762,0.00 / 1.00,-0.748298320 / 0.000000000
solvent_89 / solvent_831,0.00 / 1.00,3.024793880 / 0.000000000
solvent_377 / solvent_668,0.00 / 1.00,-0.644767010 / 0.000000000
solvent_225 / solvent_377,0.00 / 1.00,0.309479290 / 0.000000000
solvent_70 / solvent_468,0.00 / 1.00,0.010458000 / 0.000000000
solvent_362 / solvent_806,0.00 / 1.00,0.455034760 / 0.000000000
solvent_593 / solvent_628,0.00 / 1.00,0.156018910 / 0.000000000
solvent_429 / solvent_640,0.00 / 1.00,-0.171173260 / 0.000000000
solvent_252 / solvent_712,0.00 / 1.00,0.166741670 / 0.000000000
solvent_771 / solvent_794,0.00 / 1.00,0.598736090 / 0.000000000
solvent_143 / solvent_280,0.00 / 1.00,1.201638480 / 0.000000000
solvent_55 / solvent_609,0.00 / 1.00,0.016787110 / 0.000000000
solvent_177 / solvent_533,0.00 / 1.00,-2.861476510 / 0.000000000
solvent_5 / solvent_104,0.00 / 1.00,1.156030930 / 0.000000000
solvent_237 / solvent_735,0.00 / 1.00,0.194729500 / 0.000000000
solvent_317 / solvent_332,0.00 / 1.00,0.605489430 / 0.000000000
solvent_150 / solvent_657,0.00 / 1.00,1.283592820 / 0.000000000
solvent_181 / solvent_216,0.00 / 1.00,1.947590130 / 0.000000000
solvent_377 / solvent_533,0.00 / 1.00,-8.157206540 / 0.000000000
solvent_57 / solvent_261,0.00 / 1.00,0.072151770 / 0.000000000
solvent_36 / solvent_578,0.00 / 1.00,-0.863233610 / 0.000000000
solvent_269 / solvent_383,0.00 / 1.00,-0.208430720 / 0.000000000
solvent_47 / solvent_795,0.00 / 1.00,5.105376960 / 0.000000000
solvent_228 / solvent_450,0.00 / 1.00,0.929042770 / 0.000000000
solvent_167 / solvent_277,0.00 / 1.00,2.062940500 / 0.000000000
solvent_338 / solvent_645,0.00 / 1.00,2.322195570 / 0.000000000
solvent_48 / solvent_725,0.00 / 1.00,0.580900320 / 0.000000000
solvent_456 / solvent_499,0.00 / 1.00,1.251817210 / 0.000000000
solvent_693 / solvent_793,0.00 / 1.00,1.001089520 / 0.000000000
solvent_52 / solvent_668,0.00 / 1.00,1.575214240 / 0.000000000
solvent_83 / solvent_391,0.00 / 1.00,0.128121460 / 0.000000000
solvent_203 / solvent_794,0.00 / 1.00,0.005682570 / 0.000000000
solvent_82 / solvent_177,0.00 / 1.00,-0.063689310 / 0.000000000
solvent_530 / solvent_561,0.00 / 1.00,2.411691500 / 0.000000000
solvent_186 / solvent_592,0.00 / 1.00,0.138208720 / 0.000000000
solvent_104 / solvent_843,0.00 / 1.00,-1.093372740 / 0.000000000
solvent_71 / solvent_278,0.00 / 1.00,-0.052753910 / 0.000000000
solvent_40 / solvent_560,0.00 / 1.00,5.195268760 / 0.000000000
solvent_59 / solvent_731,0.00 / 1.00,3.423464610 / 0.000000000
solvent_13 / solvent_659,0.00 / 1.00,-0.865765590 / 0.000000000
solvent_175 / solvent_677,0.00 / 1.00,3.231043530 / 0.000000000
solvent_472 / solvent_696,0.00 / 1.00,-0.190082630 / 0.000000000
solvent_174 / solvent_568,0.00 / 1.00,0.006725680 / 0.000000000
solvent_301 / solvent_567,0.00 / 1.00,-0.007325060 / 0.000000000
solvent_20 / solvent_431,0.00 / 1.00,0.582057420 / 0.000000000
solvent_316 / solvent_559,0.00 / 1.00,-0.659502810 / 0.000000000
solvent_482 / solvent_586,0.00 / 1.00,3.847298440 / 0.000000000
solvent_679 / solvent_836,0.00 / 1.00,-0.089163310 / 0.000000000
solvent_138 / solvent_758,0.00 / 1.00,-0.487288900 / 0.000000000
solvent_761 / solvent_773,0.00 / 1.00,0.782235560 / 0.000000000
solvent_456 / solvent_800,0.00 / 1.00,-7.411605850 / 0.000000000
solvent_11 / solvent_677,0.00 / 1.00,0.936509750 / 0.000000000
solvent_306 / solvent_621,0.00 / 1.00,0.908627260 / 0.000000000
solvent_337 / solvent_731,0.00 / 1.00,3.874981060 / 0.000000000
solvent_469 / solvent_716,0.00 / 1.00,0.467422130 / 0.000000000
solvent_424 / solvent_428,0.00 / 1.00,1.586987090 / 0.000000000
solvent_217 / solvent_557,0.00 / 1.00,0.415401970 / 0.000000000
solvent_90 / solvent_360,0.00 / 1.00,0.325982880 / 0.000000000
solvent_469 / solvent_714,0.00 / 1.00,0.063711510 / 0.000000000
solvent_787 / solvent_794,0.00 / 1.00,1.931032770 / 0.000000000
solvent_56 / solvent_660,0.00 / 1.00,-0.081822430 / 0.000000000
solvent_16 / solvent_587,0.00 / 1.00,1.213522470 / 0.000000000
solvent_3 / solvent_649,0.00 / 1.00,-1.067385620 / 0.000000000
solvent_218 / solvent_544,0.00 / 1.00,0.069183280 / 0.000000000
solvent_174 / solvent_367,0.00 / 1.00,0.746240750 / 0.000000000
solvent_15 / solvent_301,0.00 / 1.00,-0.028341810 / 0.000000000
solvent_350 / solvent_421,0.00 / 1.00,2.968154340 / 0.000000000
solvent_205 / solvent_463,0.00 / 1.00,2.060521020 / 0.000000000
solvent_272 / solvent_359,0.00 / 1.00,-1.345862310 / 0.000000000
solvent_254 / solvent_495,0.00 / 1.00,0.060408500 / 0.000000000
solvent_182 / solvent_374,0.00 / 1.00,-2.306895860 / 0.000000000
solvent_304 / solvent_463,0.00 / 1.00,0.965608350 / 0.000000000
solvent_118 / solvent_759,0.00 / 1.00,0.450601150 / 0.000000000
solvent_125 / solvent_474,0.00 / 1.00,0.023579780 / 0.000000000
solvent_348 / solvent_793,0.00 / 1.00,0.451123320 / 0.000000000
solvent_276 / solvent_667,0.00 / 1.00,0.119249840 / 0.000000000
solvent_137 / solvent_268,0.00 / 1.00,0.054621110 / 0.000000000
solvent_170 / solvent_535,0.00 / 1.00,0.408041920 / 0.000000000
solvent_91 / solvent_237,0.00 / 1.00,-0.005508150 / 0.000000000
solvent_522 / solvent_768,0.00 / 1.00,0.974624430 / 0.000000000
solvent_227 / solvent_844,0.00 / 1.00,2.571032560 / 0.000000000
solvent_341 / solvent_741,0.00 / 1.00,0.747728370 / 0.000000000
solvent_179 / solvent_560,0.00 / 1.00,0.319489430 / 0.000000000
solvent_293 / solvent_697,0.00 / 1.00,-0.042913280 / 0.000000000
solvent_191 / solvent_771,0.00 / 1.00,0.055952780 / 0.000000000
solvent_86 / solvent_314,0.00 / 1.00,-0.561601160 / 0.000000000
solvent_297 / solvent_786,0.00 / 1.00,-0.225354040 / 0.000000000
solvent_164 / solvent_187,0.00 / 1.00,2.144625830 / 0.000000000
solvent_30 / solvent_262,0.00 / 1.00,0.055709040 / 0.000000000
solvent_86 / solvent_88,0.00 / 1.00,1.630873080 / 0.000000000
solvent_114 / solvent_751,0.00 / 1.00,-1.081605590 / 0.000000000
solvent_12 / solvent_587,0.00 / 1.00,-0.440014800 / 0.000000000
solvent_351 / solvent_809,0.00 / 1.00,-0.088916010 / 0.000000000
solvent_261 / solvent_387,0.00 / 1.00,0.230730260 / 0.000000000
solvent_268 / solvent_375,0.00 / 1.00,-0.403071670 / 0.000000000
solvent_76 / solvent_356,0.00 / 1.00,0.123538980 / 0.000000000
solvent_339 / solvent_663,0.00 / 1.00,-0.460455370 / 0.000000000
solvent_243 / solvent_594,0.00 / 1.00,0.850619040 / 0.000000000
solvent_403 / solvent_642,0.00 / 1.00,0.777286100 / 0.000000000
solvent_112 / solvent_707,0.00 / 1.00,5.578120660 / 0.000000000
solvent_173 / solvent_412,0.00 / 1.00,-1.098968980 / 0.000000000
solvent_385 / solvent_392,0.00 / 1.00,0.861104870 / 0.000000000
solvent_604 / solvent_724,0.00 / 1.00,-0.336562820 / 0.000000000
solvent_311 / solvent_833,0.00 / 1.00,1.454504160 / 0.000000000
solvent_313 / solvent_555,0.00 / 1.00,0.680717910 / 0.000000000
solvent_83 / solvent_601,0.00 / 1.00,0.138454240 / 0.000000000
solvent_21 / solvent_704,0.00 / 1.00,0.330310320 / 0.000000000
solvent_175 / solvent_360,0.00 / 1.00,-0.224801710 / 0.000000000
solvent_271 / solvent_496,0.00 / 1.00,-0.020956070 / 0.000000000
solvent_93 / solvent_770,0.00 / 1.00,-0.464835270 / 0.000000000
solvent_619 / solvent_702,0.00 / 1.00,3.478479050 / 0.000000000
solvent_142 / solvent_415,0.00 / 1.00,0.489836780 / 0.000000000
solvent_93 / solvent_239,0.00 / 1.00,-1.553577550 / 0.000000000
solvent_445 / solvent_716,0.00 / 1.00,0.114856090 / 0.000000000
solvent_182 / solvent_344,0.00 / 1.00,-0.620296170 / 0.000000000
solvent_105 / solvent_445,0.00 / 1.00,-0.226941770 / 0.000000000
solvent_829 / solvent_837,0.00 / 1.00,0.174508980 / 0.000000000
solvent_6 / solvent_368,0.00 / 1.00,0.433168150 / 0.000000000
solvent_188 / solvent_780,0.00 / 1.00,-0.256329270 / 0.000000000
solvent_139 / solvent_777,0.00 / 1.00,-0.040456490 / 0.000000000
solvent_718 / solvent_819,0.00 / 1.00,0.729829680 / 0.000000000
solvent_27 / solvent_380,0.00 / 1.00,-0.233319740 / 0.000000000
solvent_102 / solvent_544,0.00 / 1.00,0.433199310 / 0.000000000
solvent_214 / solvent_216,0.00 / 1.00,0.043126340 / 0.000000000
solvent_329 / solvent_539,0.00 / 1.00,4.436857350 / 0.000000000
solvent_40 / solvent_53,0.00 / 1.00,4.054759020 / 0.000000000
solvent_155 / solvent_555,0.00 / 1.00,0.094808770 / 0.000000000
solvent_85 / solvent_805,0.00 / 1.00,0.051565920 / 0.000000000
solvent_214 / solvent_728,0.00 / 1.00,0.699679650 / 0.000000000
solvent_276 / solvent_778,0.00 / 1.00,-0.080044310 / 0.000000000
solvent_255 / solvent_698,0.00 / 1.00,1.543107280 / 0.000000000
solvent_25 / solvent_652,0.00 / 1.00,1.325226360 / 0.000000000
solvent_112 / solvent_439,0.00 / 1.00,2.248283090 / 0.000000000
solvent_510 / solvent_621,0.00 / 1.00,0.074959560 / 0.000000000
solvent_391 / solvent_831,0.00 / 1.00,1.220227210 / 0.000000000
solvent_527 / solvent_540,0.00 / 1.00,2.652999330 / 0.000000000
solvent_162 / solvent_313,0.00 / 1.00,0.103592030 / 0.000000000
solvent_455 / solvent_729,0.00 / 1.00,0.500110280 / 0.000000000
solvent_479 / solvent_637,0.00 / 1.00,-1.097396940 / 0.000000000
solvent_617 / solvent_824,0.00 / 1.00,0.342227490 / 0.000000000
solvent_759 / solvent_835,0.00 / 1.00,0.510668640 / 0.000000000
solvent_59 / solvent_114,0.00 / 1.00,0.884370130 / 0.000000000
solvent_243 / solvent_566,0.00 / 1.00,0.497346070 / 0.000000000
solvent_427 / solvent_593,0.00 / 1.00,-1.048727830 / 0.000000000
solvent_80 / solvent_205,0.00 / 1.00,1.516868510 / 0.000000000
solvent_135 / solvent_606,0.00 / 1.00,-0.208420470 / 0.000000000
solvent_169 / solvent_722,0.00 / 1.00,0.973177930 / 0.000000000
solvent_59 / solvent_527,0.00 / 1.00,1.194222420 / 0.000000000
solvent_213 / solvent_716,0.00 / 1.00,0.542637960 / 0.000000000
solvent_633 / solvent_741,0.00 / 1.00,-0.370899800 / 0.000000000
solvent_135 / solvent_227,0.00 / 1.00,1.149266280 / 0.000000000
solvent_472 / solvent_636,0.00 / 1.00,0.054298000 / 0.000000000
solvent_605 / solvent_791,0.00 / 1.00,-0.080544060 / 0.000000000
solvent_487 / solvent_578,0.00 / 1.00,-1.347311380 / 0.000000000
solvent_113 / solvent_446,0.00 / 1.00,1.531591510 / 0.000000000
solvent_414 / solvent_789,0.00 / 1.00,0.963274430 / 0.000000000
solvent_341 / solvent_726,0.00 / 1.00,-0.008948870 / 0.000000000
solvent_449 / solvent_512,0.00 / 1.00,0.094443710 / 0.000000000
solvent_387 / solvent_670,0.00 / 1.00,1.740083120 / 0.000000000
solvent_294 / solvent_392,0.00 / 1.00,0.896374020 / 0.000000000
solvent_17 / solvent_780,0.00 / 1.00,5.725256360 / 0.000000000
solvent_409 / solvent_821,0.00 / 1.00,0.182571650 / 0.000000000
solvent_152 / solvent_660,0.00 / 1.00,0.365103540 / 0.000000000
solvent_248 / solvent_493,0.00 / 1.00,0.458819910 / 0.000000000
solvent_512 / solvent_555,0.00 / 1.00,-0.009317750 / 0.000000000
solvent_262 / solvent_822,0.00 / 1.00,-0.075198260 / 0.000000000
solvent_142 / solvent_165,0.00 / 1.00,0.399909610 / 0.000000000
solvent_237 / solvent_272,0.00 / 1.00,-0.053384330 / 0.000000000
solvent_206 / solvent_472,0.00 / 1.00,-0.275004790 / 0.000000000
solvent_243 / solvent_769,0.00 / 1.00,0.613219100 / 0.000000000
solvent_614 / solvent_697,0.00 / 1.00,2.061974940 / 0.000000000
solvent_149 / solvent_531,0.00 / 1.00,0.898783850 / 0.000000000
solvent_226 / solvent_691,0.00 / 1.00,-0.003983670 / 0.000000000
solvent_442 / solvent_752,0.00 / 1.00,1.162093740 / 0.000000000
solvent_403 / solvent_829,0.00 / 1.00,-0.357933560 / 0.000000000
solvent_653 / solvent_807,0.00 / 1.00,0.954620230 / 0.000000000
solvent_292 / solvent_474,0.00 / 1.00,0.079935410 / 0.000000000
solvent_556 / solvent_603,0.00 / 1.00,-2.861530550 / 0.000000000
solvent_479 / solvent_561,0.00 / 1.00,0.614943800 / 0.000000000
solvent_297 / solvent_376,0.00 / 1.00,0.203401170 / 0.000000000
solvent_200 / solvent_559,0.00 / 1.00,-0.439981530 / 0.000000000
solvent_6 / solvent_206,0.00 / 1.00,0.081110750 / 0.000000000
solvent_301 / solvent_533,0.00 / 1.00,-0.962524200 / 0.000000000
solvent_70 / solvent_173,0.00 / 1.00,0.231442870 / 0.000000000
solvent_574 / solvent_701,0.00 / 1.00,-0.906124280 / 0.000000000
solvent_212 / solvent_641,0.00 / 1.00,0.107197810 / 0.000000000
solvent_298 / solvent_623,0.00 / 1.00,2.414996700 / 0.000000000
solvent_444 / solvent_762,0.00 / 1.00,-0.535979800 / 0.000000000
solvent_126 / solvent_275,0.00 / 1.00,0.060243010 / 0.000000000
solvent_151 / solvent_806,0.00 / 1.00,0.444816990 / 0.000000000
solvent_187 / solvent_647,0.00 / 1.00,-0.876503950 / 0.000000000
solvent_124 / solvent_474,0.00 / 1.00,-0.017327300 / 0.000000000
solvent_137 / solvent_197,0.00 / 1.00,-0.124767270 / 0.000000000
solvent_347 / solvent_570,0.00 / 1.00,-0.278535100 / 0.000000000
solvent_114 / solvent_431,0.00 / 1.00,1.512488200 / 0.000000000
solvent_25 / solvent_498,0.00 / 1.00,-0.457983610 / 0.000000000
solvent_606 / solvent_654,0.00 / 1.00,0.241233360 / 0.000000000
solvent_136 / solvent_652,0.00 / 1.00,0.660748980 / 0.000000000
solvent_474 / solvent_795,0.00 / 1.00,0.287541840 / 0.000000000
solvent_493 / solvent_795,0.00 / 1.00,0.811881010 / 0.000000000
solvent_321 / solvent_655,0.00 / 1.00,-0.014587850 / 0.000000000
solvent_124 / solvent_421,0.00 / 1.00,0.090098220 / 0.000000000
solvent_192 / solvent_380,0.00 / 1.00,0.314762690 / 0.000000000
solvent_54 / solvent_844,0.00 / 1.00,1.235150720 / 0.000000000
solvent_514 / solvent_833,0.00 / 1.00,1.210031510 / 0.000000000
solvent_52 / solvent_747,0.00 / 1.00,3.866733560 / 0.000000000
solvent_479 / solvent_508,0.00 / 1.00,3.272863870 / 0.000000000
solvent_10 / solvent_508,0.00 / 1.00,0.257044370 / 0.000000000
solvent_493 / solvent_497,0.00 / 1.00,-0.013946000 / 0.000000000
solvent_376 / solvent_734,0.00 / 1.00,0.125652560 / 0.000000000
solvent_119 / solvent_438,0.00 / 1.00,0.010095160 / 0.000000000
solvent_210 / solvent_277,0.00 / 1.00,-0.106788850 / 0.000000000
solvent_276 / solvent_828,0.00 / 1.00,-0.019521600 / 0.000000000
solvent_140 / solvent_549,0.00 / 1.00,-0.198063010 / 0.000000000
solvent_470 / solvent_670,0.00 / 1.00,-0.264235650 / 0.000000000
solvent_384 / solvent_676,0.00 / 1.00,-0.855781130 / 0.000000000
solvent_701 / solvent_710,0.00 / 1.00,1.269202210 / 0.000000000
solvent_82 / solvent_246,0.00 / 1.00,0.143754370 / 0.000000000
solvent_238 / solvent_421,0.00 / 1.00,-0.015264740 / 0.000000000
solvent_334 / solvent_673,0.00 / 1.00,0.177092120 / 0.000000000
solvent_338 / solvent_769,0.00 / 1.00,2.335380310 / 0.000000000
solvent_313 / solvent_608,0.00 / 1.00,0.314527070 / 0.000000000
solvent_547 / solvent_780,0.00 / 1.00,3.520080950 / 0.000000000
solvent_115 / solvent_717,0.00 / 1.00,0.213396480 / 0.000000000
solvent_44 / solvent_475,0.00 / 1.00,2.712655070 / 0.000000000
solvent_381 / solvent_444,0.00 / 1.00,0.661750480 / 0.000000000
solvent_67 / solvent_136,0.00 / 1.00,-0.004087690 / 0.000000000
solvent_140 / solvent_551,0.00 / 1.00,1.347900020 / 0.000000000
solvent_481 / solvent_844,0.00 / 1.00,6.562133780 / 0.000000000
solvent_322 / solvent_819,0.00 / 1.00,-0.014252470 / 0.000000000
solvent_137 / solvent_451,0.00 / 1.00,0.161899560 / 0.000000000
solvent_252 / solvent_345,0.00 / 1.00,0.740855650 / 0.000000000
solvent_558 / solvent_571,0.00 / 1.00,2.745987770 / 0.000000000
solvent_509 / solvent_649,0.00 / 1.00,0.006936640 / 0.000000000
solvent_413 / solvent_831,0.00 / 1.00,7.079442010 / 0.000000000
solvent_315 / solvent_820,0.00 / 1.00,-0.012818710 / 0.000000000
solvent_138 / solvent_694,0.00 / 1.00,0.472801600 / 0.000000000
solvent_506 / solvent_804,0.00 / 1.00,0.819059040 / 0.000000000
solvent_564 / solvent_839,0.00 / 1.00,-0.128035920 / 0.000000000
solvent_214 / solvent_465,0.00 / 1.00,-0.106139670 / 0.000000000
solvent_703 / solvent_770,0.00 / 1.00,1.115627460 / 0.000000000
solvent_519 / solvent_547,0.00 / 1.00,-0.459238040 / 0.000000000
solvent_256 / solvent_394,0.00 / 1.00,3.346895240 / 0.000000000
solvent_510 / solvent_780,0.00 / 1.00,6.029425350 / 0.000000000
solvent_439 / solvent_723,0.00 / 1.00,4.130196470 / 0.000000000
solvent_343 / solvent_409,0.00 / 1.00,0.885043240 / 0.000000000
solvent_56 / solvent_650,0.00 / 1.00,0.861407450 / 0.000000000
solvent_266 / solvent_630,0.00 / 1.00,0.169754570 / 0.000000000
solvent_456 / solvent_790,0.00 / 1.00,-0.390791410 / 0.000000000
solvent_497 / solvent_580,0.00 / 1.00,0.141169140 / 0.000000000
solvent_602 / solvent_783,0.00 / 1.00,-0.571153860 / 0.000000000
solvent_629 / solvent_779,0.00 / 1.00,-0.428370650 / 0.000000000
solvent_75 / solvent_384,0.00 / 1.00,0.548754650 / 0.000000000
solvent_755 / solvent_799,0.00 / 1.00,0.029587070 / 0.000000000
solvent_609 / solvent_743,0.00 / 1.00,-0.810996240 / 0.000000000
solvent_70 / solvent_416,0.00 / 1.00,0.937842330 / 0.000000000
solvent_86 / solvent_622,0.00 / 1.00,0.036087950 / 0.000000000
solvent_169 / solvent_215,0.00 / 1.00,-0.108353950 / 0.000000000
solvent_593 / solvent_836,0.00 / 1.00,0.099825690 / 0.000000000
solvent_167 / solvent_406,0.00 / 1.00,-0.616601980 / 0.000000000
solvent_88 / solvent_570,0.00 / 1.00,0.005162470 / 0.000000000
solvent_524 / solvent_799,0.00 / 1.00,1.728608050 / 0.000000000
solvent_466 / solvent_793,0.00 / 1.00,0.453915250 / 0.000000000
solvent_107 / solvent_489,0.00 / 1.00,-0.192699960 / 0.000000000
solvent_243 / solvent_665,0.00 / 1.00,0.292991240 / 0.000000000
solvent_177 / solvent_378,0.00 / 1.00,-0.394430670 / 0.000000000
solvent_248 / solvent_472,0.00 / 1.00,0.133740890 / 0.000000000
