solv_i_id,molefrac_i,ln_gamma_i
solvent_203 / solvent_553,0.10 / 0.90,-0.637963620 / -0.006218670
solvent_430 / solvent_568,0.10 / 0.90,-0.316032120 / -0.016789840
solvent_57 / solvent_511,0.10 / 0.90,0.008175190 / 0.000452410
solvent_110 / solvent_809,0.10 / 0.90,-0.238496780 / -0.001633320
solvent_120 / solvent_804,0.10 / 0.90,-0.042320880 / -0.055062350
solvent_246 / solvent_559,0.10 / 0.90,-0.286798890 / -0.001748540
solvent_233 / solvent_425,0.10 / 0.90,0.965178490 / 0.007094420
solvent_249 / solvent_804,0.10 / 0.90,1.388384080 / 0.023157460
solvent_59 / solvent_708,0.10 / 0.90,3.465967770 / 0.046374410
solvent_389 / solvent_626,0.10 / 0.90,0.192671450 / 0.017304620
solvent_301 / solvent_728,0.10 / 0.90,0.271059250 / 0.003376060
solvent_111 / solvent_574,0.10 / 0.90,-0.263900250 / -0.000520220
solvent_246 / solvent_423,0.10 / 0.90,0.509240460 / 0.008126030
solvent_251 / solvent_398,0.10 / 0.90,0.497282320 / 0.006155280
solvent_142 / solvent_514,0.10 / 0.90,-0.054371040 / 0.001094230
solvent_696 / solvent_705,0.10 / 0.90,0.440904240 / 0.009263160
solvent_71 / solvent_187,0.10 / 0.90,0.229906670 / 0.004502810
solvent_141 / solvent_421,0.10 / 0.90,-0.222426370 / 0.000594980
solvent_2 / solvent_714,0.10 / 0.90,0.576787120 / 0.005152600
solvent_9 / solvent_616,0.10 / 0.90,-0.037462030 / 0.000725400
solvent_298 / solvent_570,0.10 / 0.90,0.463580110 / 0.004973830
solvent_488 / solvent_500,0.10 / 0.90,0.239647770 / 0.003758080
solvent_657 / solvent_681,0.10 / 0.90,0.114909440 / 0.001190760
solvent_114 / solvent_711,0.10 / 0.90,-0.131712550 / -0.001394840
solvent_99 / solvent_313,0.10 / 0.90,0.793106730 / 0.013348550
solvent_487 / solvent_508,0.10 / 0.90,0.518408990 / 0.006795960
solvent_86 / solvent_840,0.10 / 0.90,1.735628600 / 0.032110370
solvent_579 / solvent_727,0.10 / 0.90,0.099972270 / 0.001073800
solvent_555 / solvent_630,0.10 / 0.90,0.088371490 / 0.000896210
solvent_122 / solvent_606,0.10 / 0.90,-0.009239190 / -0.000286490
solvent_206 / solvent_432,0.10 / 0.90,-0.556828780 / -0.005898740
solvent_225 / solvent_341,0.10 / 0.90,0.934003930 / 0.015158830
solvent_336 / solvent_836,0.10 / 0.90,-0.345872710 / -0.004041550
solvent_394 / solvent_842,0.10 / 0.90,4.036689020 / 0.125307100
solvent_188 / solvent_296,0.10 / 0.90,0.132832270 / 0.002683900
solvent_429 / solvent_827,0.10 / 0.90,-0.172545060 / -0.003977870
solvent_570 / solvent_635,0.10 / 0.90,1.297779110 / 0.147264860
solvent_131 / solvent_566,0.10 / 0.90,0.543079810 / 0.015150400
solvent_23 / solvent_381,0.10 / 0.90,1.204181040 / 0.014758890
solvent_138 / solvent_704,0.10 / 0.90,0.528526470 / 0.008407030
solvent_39 / solvent_294,0.10 / 0.90,0.385659120 / 0.002013560
solvent_44 / solvent_704,0.10 / 0.90,2.689332530 / 0.116219170
solvent_88 / solvent_819,0.10 / 0.90,0.156071570 / 0.003756190
solvent_670 / solvent_818,0.10 / 0.90,0.919397740 / 0.019539840
solvent_339 / solvent_469,0.10 / 0.90,-0.383100080 / -0.004683320
solvent_237 / solvent_650,0.10 / 0.90,0.091284600 / -0.001943960
solvent_435 / solvent_500,0.10 / 0.90,-0.033528230 / -0.000260600
solvent_111 / solvent_113,0.10 / 0.90,0.152625960 / 0.002128490
solvent_335 / solvent_620,0.10 / 0.90,0.274100590 / 0.005303230
solvent_71 / solvent_577,0.10 / 0.90,1.327299510 / 0.011331280
solvent_376 / solvent_701,0.10 / 0.90,-0.512847770 / -0.005306370
solvent_809 / solvent_811,0.10 / 0.90,-0.172495700 / -0.006205070
solvent_226 / solvent_436,0.10 / 0.90,-0.031822000 / -0.000294450
solvent_204 / solvent_417,0.10 / 0.90,-0.393900230 / -0.005675040
solvent_511 / solvent_580,0.10 / 0.90,0.926177540 / 0.006922080
solvent_136 / solvent_418,0.10 / 0.90,0.465391510 / 0.006595150
solvent_229 / solvent_762,0.10 / 0.90,-0.643611060 / -0.005598830
solvent_89 / solvent_831,0.10 / 0.90,1.055830630 / 0.061581060
solvent_377 / solvent_668,0.10 / 0.90,-0.574750840 / -0.003925500
solvent_225 / solvent_377,0.10 / 0.90,0.268591530 / 0.002238070
solvent_70 / solvent_468,0.10 / 0.90,0.004342660 / 0.000308700
solvent_362 / solvent_806,0.10 / 0.90,0.254912240 / 0.009583760
solvent_593 / solvent_628,0.10 / 0.90,0.130383420 / 0.001371910
solvent_429 / solvent_640,0.10 / 0.90,-0.139125580 / -0.001751350
solvent_252 / solvent_712,0.10 / 0.90,0.151804650 / 0.001520390
solvent_771 / solvent_794,0.10 / 0.90,0.518116410 / 0.004406070
solvent_143 / solvent_280,0.10 / 0.90,0.739986460 / 0.019259180
solvent_55 / solvent_609,0.10 / 0.90,0.012927390 / 0.000212360
solvent_177 / solvent_533,0.10 / 0.90,-2.742111400 / -0.007602540
solvent_5 / solvent_104,0.10 / 0.90,0.989069730 / 0.008904900
solvent_237 / solvent_735,0.10 / 0.90,0.216754040 / -0.001189370
solvent_317 / solvent_332,0.10 / 0.90,0.460461770 / 0.007478460
solvent_150 / solvent_657,0.10 / 0.90,0.749949040 / 0.022868960
solvent_181 / solvent_216,0.10 / 0.90,1.082292650 / 0.041958670
solvent_377 / solvent_533,0.10 / 0.90,-7.256883190 / -0.055349550
solvent_57 / solvent_261,0.10 / 0.90,0.058983390 / 0.000685520
solvent_36 / solvent_578,0.10 / 0.90,-0.683482520 / -0.009420330
solvent_269 / solvent_383,0.10 / 0.90,-0.171913970 / -0.001882780
solvent_47 / solvent_795,0.10 / 0.90,1.686851420 / 0.125227980
solvent_228 / solvent_450,0.10 / 0.90,0.378459570 / 0.025589860
solvent_167 / solvent_277,0.10 / 0.90,0.803459780 / 0.049400760
solvent_338 / solvent_645,0.10 / 0.90,1.077858930 / 0.047804110
solvent_48 / solvent_725,0.10 / 0.90,0.417844710 / 0.008308310
solvent_456 / solvent_499,0.10 / 0.90,0.961415840 / 0.014993470
solvent_693 / solvent_793,0.10 / 0.90,0.854953340 / 0.007851490
solvent_52 / solvent_668,0.10 / 0.90,1.217518180 / 0.017594430
solvent_83 / solvent_391,0.10 / 0.90,0.094790350 / 0.001559510
solvent_203 / solvent_794,0.10 / 0.90,0.012519480 / -0.000396900
solvent_82 / solvent_177,0.10 / 0.90,-0.045796590 / -0.000899000
solvent_530 / solvent_561,0.10 / 0.90,1.378755100 / 0.049380880
solvent_186 / solvent_592,0.10 / 0.90,0.090328330 / 0.002356950
solvent_104 / solvent_843,0.10 / 0.90,-0.883112500 / -0.010047070
solvent_71 / solvent_278,0.10 / 0.90,-0.041452910 / -0.000585960
solvent_40 / solvent_560,0.10 / 0.90,2.594724000 / 0.095474330
solvent_59 / solvent_731,0.10 / 0.90,2.710005370 / 0.036535040
solvent_13 / solvent_659,0.10 / 0.90,-0.771913620 / -0.005253300
solvent_175 / solvent_677,0.10 / 0.90,1.778313790 / 0.050362120
solvent_472 / solvent_696,0.10 / 0.90,-0.162510650 / -0.001496170
solvent_174 / solvent_568,0.10 / 0.90,0.003443980 / 0.000231330
solvent_301 / solvent_567,0.10 / 0.90,0.006961000 / -0.000711150
solvent_20 / solvent_431,0.10 / 0.90,0.528023580 / 0.002953550
solvent_316 / solvent_559,0.10 / 0.90,-0.622040620 / -0.002281170
solvent_482 / solvent_586,0.10 / 0.90,2.491508210 / 0.066196370
solvent_679 / solvent_836,0.10 / 0.90,-0.070981290 / -0.000994410
solvent_138 / solvent_758,0.10 / 0.90,-0.398444100 / -0.004867060
solvent_761 / solvent_773,0.10 / 0.90,0.625617940 / 0.008157880
solvent_456 / solvent_800,0.10 / 0.90,-6.165998150 / -0.069555660
solvent_11 / solvent_677,0.10 / 0.90,0.781777350 / 0.008186130
solvent_306 / solvent_621,0.10 / 0.90,0.691960860 / 0.011206960
solvent_337 / solvent_731,0.10 / 0.90,3.193570560 / 0.035396180
solvent_469 / solvent_716,0.10 / 0.90,0.520422650 / -0.001391640
solvent_424 / solvent_428,0.10 / 0.90,1.451148320 / 0.007040370
solvent_217 / solvent_557,0.10 / 0.90,0.361688690 / 0.002893420
solvent_90 / solvent_360,0.10 / 0.90,0.299998680 / 0.001432470
solvent_469 / solvent_714,0.10 / 0.90,0.047310330 / 0.000839360
solvent_787 / solvent_794,0.10 / 0.90,1.194380760 / 0.036246260
solvent_56 / solvent_660,0.10 / 0.90,-0.057739800 / -0.001262790
solvent_16 / solvent_587,0.10 / 0.90,0.750659850 / 0.022144480
solvent_3 / solvent_649,0.10 / 0.90,-0.877536340 / -0.010502010
solvent_218 / solvent_544,0.10 / 0.90,-0.186414380 / 0.012132220
solvent_174 / solvent_367,0.10 / 0.90,0.563741030 / 0.009253260
solvent_15 / solvent_301,0.10 / 0.90,-0.023233250 / -0.000285420
solvent_350 / solvent_421,0.10 / 0.90,2.412854000 / 0.029132510
solvent_205 / solvent_463,0.10 / 0.90,1.019052650 / 0.038256390
solvent_272 / solvent_359,0.10 / 0.90,-0.967365740 / -0.019350120
solvent_254 / solvent_495,0.10 / 0.90,0.051545550 / 0.000498310
solvent_182 / solvent_374,0.10 / 0.90,-2.396362260 / 0.002293570
solvent_304 / solvent_463,0.10 / 0.90,0.823765510 / 0.007539970
solvent_118 / solvent_759,0.10 / 0.90,0.282412500 / 0.008265100
solvent_125 / solvent_474,0.10 / 0.90,0.017717300 / 0.000322880
solvent_348 / solvent_793,0.10 / 0.90,0.434270830 / 0.001194000
solvent_276 / solvent_667,0.10 / 0.90,0.115150690 / 0.000245640
solvent_137 / solvent_268,0.10 / 0.90,0.023207540 / 0.001295530
solvent_170 / solvent_535,0.10 / 0.90,0.313633920 / 0.004862580
solvent_91 / solvent_237,0.10 / 0.90,-0.006266090 / 0.000096600
solvent_522 / solvent_768,0.10 / 0.90,0.739929780 / 0.012068360
solvent_227 / solvent_844,0.10 / 0.90,1.577230320 / 0.048107800
solvent_341 / solvent_741,0.10 / 0.90,0.669492290 / 0.004201030
solvent_179 / solvent_560,0.10 / 0.90,0.263754710 / 0.002988300
solvent_293 / solvent_697,0.10 / 0.90,-0.035541380 / -0.000394520
solvent_191 / solvent_771,0.10 / 0.90,0.046414110 / 0.000482530
solvent_86 / solvent_314,0.10 / 0.90,-0.448499800 / -0.005955330
solvent_297 / solvent_786,0.10 / 0.90,-0.157389280 / -0.003972680
solvent_164 / solvent_187,0.10 / 0.90,1.024183050 / 0.044630740
solvent_30 / solvent_262,0.10 / 0.90,0.043649990 / 0.000635730
solvent_86 / solvent_88,0.10 / 0.90,1.319279090 / 0.016390610
solvent_114 / solvent_751,0.10 / 0.90,-1.147793620 / 0.004998120
solvent_12 / solvent_587,0.10 / 0.90,-0.182167580 / -0.011618870
solvent_351 / solvent_809,0.10 / 0.90,-0.079893290 / -0.000493240
solvent_261 / solvent_387,0.10 / 0.90,0.222257240 / 0.000489340
solvent_268 / solvent_375,0.10 / 0.90,-0.326081570 / -0.004093280
solvent_76 / solvent_356,0.10 / 0.90,0.093018850 / 0.001395410
solvent_339 / solvent_663,0.10 / 0.90,-0.355663350 / -0.005654020
solvent_243 / solvent_594,0.10 / 0.90,0.601410930 / 0.012132070
solvent_403 / solvent_642,0.10 / 0.90,0.362092060 / 0.018428020
solvent_112 / solvent_707,0.10 / 0.90,4.369559460 / 0.061394690
solvent_173 / solvent_412,0.10 / 0.90,-0.803433230 / -0.014554850
solvent_385 / solvent_392,0.10 / 0.90,0.671856320 / 0.009964480
solvent_604 / solvent_724,0.10 / 0.90,-0.264857600 / -0.003833890
solvent_311 / solvent_833,0.10 / 0.90,1.111208270 / 0.016643220
solvent_313 / solvent_555,0.10 / 0.90,0.496900620 / 0.009335610
solvent_83 / solvent_601,0.10 / 0.90,0.097982890 / 0.001781550
solvent_21 / solvent_704,0.10 / 0.90,0.283258260 / 0.002475490
solvent_175 / solvent_360,0.10 / 0.90,-0.148967520 / -0.004589250
solvent_271 / solvent_496,0.10 / 0.90,-0.032141730 / 0.000591130
solvent_93 / solvent_770,0.10 / 0.90,-0.240028710 / -0.003522290
solvent_619 / solvent_702,0.10 / 0.90,-0.488808590 / 0.214949950
solvent_142 / solvent_415,0.10 / 0.90,0.325545920 / 0.007638130
solvent_93 / solvent_239,0.10 / 0.90,-1.171316670 / -0.020361000
solvent_445 / solvent_716,0.10 / 0.90,0.101047750 / 0.000731050
solvent_182 / solvent_344,0.10 / 0.90,-0.587039740 / -0.002948040
solvent_105 / solvent_445,0.10 / 0.90,-0.172455970 / -0.002816570
solvent_829 / solvent_837,0.10 / 0.90,0.162182110 / 0.000669180
solvent_6 / solvent_368,0.10 / 0.90,0.350879580 / 0.004351710
solvent_188 / solvent_780,0.10 / 0.90,-0.476858650 / 0.008300520
solvent_139 / solvent_777,0.10 / 0.90,-0.010680680 / -0.001350580
solvent_718 / solvent_819,0.10 / 0.90,0.387174330 / 0.008822030
solvent_27 / solvent_380,0.10 / 0.90,-0.190728860 / -0.002259440
solvent_102 / solvent_544,0.10 / 0.90,0.375807060 / 0.002951860
solvent_214 / solvent_216,0.10 / 0.90,-0.093699070 / 0.005668800
solvent_329 / solvent_539,0.10 / 0.90,2.634168050 / 0.085377800
solvent_40 / solvent_53,0.10 / 0.90,2.266190800 / 0.075449600
solvent_155 / solvent_555,0.10 / 0.90,0.078158100 / 0.000897860
solvent_85 / solvent_805,0.10 / 0.90,0.044630190 / 0.000360980
solvent_214 / solvent_728,0.10 / 0.90,0.522984640 / 0.014172930
solvent_276 / solvent_778,0.10 / 0.90,-0.049318290 / -0.001498520
solvent_255 / solvent_698,0.10 / 0.90,1.342566550 / 0.007548240
solvent_25 / solvent_652,0.10 / 0.90,1.067379700 / 0.013480400
solvent_112 / solvent_439,0.10 / 0.90,1.719455920 / 0.026677740
solvent_510 / solvent_621,0.10 / 0.90,0.053005070 / 0.001203990
solvent_391 / solvent_831,0.10 / 0.90,0.716982280 / 0.022671040
solvent_527 / solvent_540,0.10 / 0.90,1.826209800 / 0.039958410
solvent_162 / solvent_313,0.10 / 0.90,0.086685940 / 0.000899500
solvent_455 / solvent_729,0.10 / 0.90,0.433225410 / 0.003715520
solvent_479 / solvent_637,0.10 / 0.90,-1.020362680 / -0.005441910
solvent_617 / solvent_824,0.10 / 0.90,0.295566360 / 0.002489130
solvent_759 / solvent_835,0.10 / 0.90,0.449993330 / 0.003264260
solvent_59 / solvent_114,0.10 / 0.90,0.539776200 / 0.017186720
solvent_243 / solvent_566,0.10 / 0.90,0.517132390 / 0.004529580
solvent_427 / solvent_593,0.10 / 0.90,-0.725796310 / -0.016190710
solvent_80 / solvent_205,0.10 / 0.90,1.302340870 / 0.011382250
solvent_135 / solvent_606,0.10 / 0.90,-0.157889700 / -0.002594250
solvent_169 / solvent_722,0.10 / 0.90,0.858584460 / 0.006121710
solvent_59 / solvent_527,0.10 / 0.90,0.862466040 / 0.016643080
solvent_213 / solvent_716,0.10 / 0.90,0.424980260 / 0.005582590
solvent_633 / solvent_741,0.10 / 0.90,-0.311341870 / -0.003081740
solvent_135 / solvent_227,0.10 / 0.90,0.903594440 / 0.012699300
solvent_472 / solvent_636,0.10 / 0.90,0.049477480 / 0.000233620
solvent_605 / solvent_791,0.10 / 0.90,-0.066101870 / -0.000733160
solvent_487 / solvent_578,0.10 / 0.90,-0.760054280 / -0.030948140
solvent_113 / solvent_446,0.10 / 0.90,1.251076440 / 0.014565270
solvent_414 / solvent_789,0.10 / 0.90,0.792364550 / 0.009016590
solvent_341 / solvent_726,0.10 / 0.90,-0.006801520 / -0.000110130
solvent_449 / solvent_512,0.10 / 0.90,0.054861500 / 0.001857480
solvent_387 / solvent_670,0.10 / 0.90,0.444629180 / 0.047833640
solvent_294 / solvent_392,0.10 / 0.90,0.726570140 / 0.008914910
solvent_17 / solvent_780,0.10 / 0.90,2.890993380 / 0.131150650
solvent_409 / solvent_821,0.10 / 0.90,0.177941200 / 0.000894420
solvent_152 / solvent_660,0.10 / 0.90,0.250610850 / 0.005709300
solvent_248 / solvent_493,0.10 / 0.90,0.432327760 / 0.001422980
solvent_512 / solvent_555,0.10 / 0.90,-0.006552350 / -0.000127120
solvent_262 / solvent_822,0.10 / 0.90,-0.061979560 / -0.000697700
solvent_142 / solvent_165,0.10 / 0.90,0.358978930 / 0.002199470
solvent_237 / solvent_272,0.10 / 0.90,-0.045611820 / -0.000416570
solvent_206 / solvent_472,0.10 / 0.90,-0.214440710 / -0.003180560
solvent_243 / solvent_769,0.10 / 0.90,0.568922580 / 0.003189230
solvent_614 / solvent_697,0.10 / 0.90,1.397429960 / 0.027180320
solvent_149 / solvent_531,0.10 / 0.90,0.736638980 / 0.008549920
solvent_226 / solvent_691,0.10 / 0.90,-0.004689570 / 0.000055300
solvent_442 / solvent_752,0.10 / 0.90,1.078803160 / 0.004588140
solvent_403 / solvent_829,0.10 / 0.90,-0.247839720 / -0.005716410
solvent_653 / solvent_807,0.10 / 0.90,0.689568730 / 0.013289550
solvent_292 / solvent_474,0.10 / 0.90,0.046311120 / 0.001639120
solvent_556 / solvent_603,0.10 / 0.90,-2.562591980 / -0.016390360
solvent_479 / solvent_561,0.10 / 0.90,0.483022890 / 0.005293820
solvent_297 / solvent_376,0.10 / 0.90,0.180229380 / 0.001315010
solvent_200 / solvent_559,0.10 / 0.90,-0.368004960 / -0.003952700
solvent_6 / solvent_206,0.10 / 0.90,0.066431650 / 0.000777880
solvent_301 / solvent_533,0.10 / 0.90,-0.800093990 / -0.008790970
solvent_70 / solvent_173,0.10 / 0.90,0.201910230 / 0.001596250
solvent_574 / solvent_701,0.10 / 0.90,-0.731982980 / -0.010316640
solvent_212 / solvent_641,0.10 / 0.90,0.091321860 / 0.000940100
solvent_298 / solvent_623,0.10 / 0.90,1.081785240 / 0.048991390
solvent_444 / solvent_762,0.10 / 0.90,-0.316632250 / -0.010964060
solvent_126 / solvent_275,0.10 / 0.90,0.058860650 / 0.000222640
solvent_151 / solvent_806,0.10 / 0.90,0.312774090 / 0.006741450
solvent_187 / solvent_647,0.10 / 0.90,-0.747446780 / -0.007185710
solvent_124 / solvent_474,0.10 / 0.90,-0.015754360 / -0.000065100
solvent_137 / solvent_197,0.10 / 0.90,-0.115244830 / -0.000697220
solvent_347 / solvent_570,0.10 / 0.90,-0.254359450 / -0.001312630
solvent_114 / solvent_431,0.10 / 0.90,1.217702700 / 0.015382140
solvent_25 / solvent_498,0.10 / 0.90,-0.319793070 / -0.007440680
solvent_606 / solvent_654,0.10 / 0.90,0.206202920 / 0.001910320
solvent_136 / solvent_652,0.10 / 0.90,0.556219950 / 0.005543450
solvent_474 / solvent_795,0.10 / 0.90,0.245494130 / 0.002252780
solvent_493 / solvent_795,0.10 / 0.90,0.361516270 / 0.019978080
solvent_321 / solvent_655,0.10 / 0.90,-0.005538070 / -0.000669610
solvent_124 / solvent_421,0.10 / 0.90,0.079964610 / 0.000614760
solvent_192 / solvent_380,0.10 / 0.90,0.193687480 / 0.005357690
solvent_54 / solvent_844,0.10 / 0.90,1.439365810 / -0.009537790
solvent_514 / solvent_833,0.10 / 0.90,1.044270220 / 0.008821280
solvent_52 / solvent_747,0.10 / 0.90,1.864342900 / 0.086268090
solvent_479 / solvent_508,0.10 / 0.90,1.840570870 / 0.056449900
solvent_10 / solvent_508,0.10 / 0.90,0.214281160 / 0.002260580
solvent_493 / solvent_497,0.10 / 0.90,-0.011467990 / -0.000083100
solvent_376 / solvent_734,0.10 / 0.90,0.110949830 / 0.000844080
solvent_119 / solvent_438,0.10 / 0.90,0.038048190 / -0.001459840
solvent_210 / solvent_277,0.10 / 0.90,-0.079470180 / -0.001406600
solvent_276 / solvent_828,0.10 / 0.90,-0.019360540 / -0.000058500
solvent_140 / solvent_549,0.10 / 0.90,-0.160306060 / -0.002002470
solvent_470 / solvent_670,0.10 / 0.90,-0.135648300 / -0.003645140
solvent_384 / solvent_676,0.10 / 0.90,-0.913657190 / -0.002925290
solvent_701 / solvent_710,0.10 / 0.90,1.054460120 / 0.011222440
solvent_82 / solvent_246,0.10 / 0.90,0.127660600 / 0.000851060
solvent_238 / solvent_421,0.10 / 0.90,-0.012491960 / -0.000155330
solvent_334 / solvent_673,0.10 / 0.90,0.140033340 / 0.001867050
solvent_338 / solvent_769,0.10 / 0.90,2.004264440 / 0.023516650
solvent_313 / solvent_608,0.10 / 0.90,0.198256110 / 0.005521250
solvent_547 / solvent_780,0.10 / 0.90,1.896364890 / 0.077665940
solvent_115 / solvent_717,0.10 / 0.90,0.160515830 / 0.002719370
solvent_44 / solvent_475,0.10 / 0.90,1.577761360 / 0.048572270
solvent_381 / solvent_444,0.10 / 0.90,0.539466670 / 0.006444070
solvent_67 / solvent_136,0.10 / 0.90,-0.003980900 / -0.000039200
solvent_140 / solvent_551,0.10 / 0.90,1.121178120 / 0.011901780
solvent_481 / solvent_844,0.10 / 0.90,4.388076430 / 0.104674490
solvent_322 / solvent_819,0.10 / 0.90,-0.011451710 / -0.000144810
solvent_137 / solvent_451,0.10 / 0.90,0.118546190 / 0.002205710
solvent_252 / solvent_345,0.10 / 0.90,0.556277920 / 0.010011650
solvent_558 / solvent_571,0.10 / 0.90,2.184965240 / 0.027802950
solvent_509 / solvent_649,0.10 / 0.90,0.019226130 / -0.000653740
solvent_413 / solvent_831,0.10 / 0.90,2.237597130 / 0.138807010
solvent_315 / solvent_820,0.10 / 0.90,0.003942160 / -0.000843310
solvent_138 / solvent_694,0.10 / 0.90,0.386918820 / 0.004467130
solvent_506 / solvent_804,0.10 / 0.90,0.600356090 / 0.011344790
solvent_564 / solvent_839,0.10 / 0.90,-0.111121760 / -0.000918810
solvent_214 / solvent_465,0.10 / 0.90,-0.072988390 / -0.001711100
solvent_703 / solvent_770,0.10 / 0.90,0.661394390 / 0.022985090
solvent_519 / solvent_547,0.10 / 0.90,-0.406294190 / -0.002890420
solvent_256 / solvent_394,0.10 / 0.90,2.597401270 / 0.038896410
solvent_510 / solvent_780,0.10 / 0.90,4.601605850 / 0.072523960
solvent_439 / solvent_723,0.10 / 0.90,2.826247650 / 0.064993680
solvent_343 / solvent_409,0.10 / 0.90,0.680708410 / 0.010452600
solvent_56 / solvent_650,0.10 / 0.90,0.639815370 / 0.011369530
solvent_266 / solvent_630,0.10 / 0.90,0.025576460 / 0.007298780
solvent_456 / solvent_790,0.10 / 0.90,-0.311971100 / -0.004068610
solvent_497 / solvent_580,0.10 / 0.90,0.055137550 / 0.004168840
solvent_602 / solvent_783,0.10 / 0.90,-0.458344440 / -0.005719020
solvent_629 / solvent_779,0.10 / 0.90,-0.311675130 / -0.006047240
solvent_75 / solvent_384,0.10 / 0.90,0.457351690 / 0.004957090
solvent_755 / solvent_799,0.10 / 0.90,0.065164260 / -0.001712040
solvent_609 / solvent_743,0.10 / 0.90,-0.552086390 / -0.012873400
solvent_70 / solvent_416,0.10 / 0.90,0.730114090 / 0.010711180
solvent_86 / solvent_622,0.10 / 0.90,0.028428710 / 0.000337370
solvent_169 / solvent_215,0.10 / 0.90,-0.093870170 / -0.000755450
solvent_593 / solvent_836,0.10 / 0.90,0.086747140 / 0.000697760
solvent_167 / solvent_406,0.10 / 0.90,-0.533538900 / -0.004867130
solvent_88 / solvent_570,0.10 / 0.90,0.006665070 / -0.000088600
solvent_524 / solvent_799,0.10 / 0.90,1.353410560 / 0.007807600
solvent_466 / solvent_793,0.10 / 0.90,0.429248560 / 0.001354120
solvent_107 / solvent_489,0.10 / 0.90,-0.161269770 / -0.001666640
solvent_243 / solvent_665,0.10 / 0.90,0.335553710 / 0.000147180
solvent_177 / solvent_378,0.10 / 0.90,-0.343492910 / -0.002833850
solvent_248 / solvent_472,0.10 / 0.90,0.112313450 / 0.001136940
