solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_32 / solvent_57 / solvent_13,0.3130 / 0.2160 / 0.4710,331.16,-0.0419 / 0.1211 / 0.2324,kdb
solvent_32 / solvent_57 / solvent_13,0.3150 / 0.2140 / 0.4710,331.02,-0.0218 / 0.1485 / 0.216,kdb
solvent_32 / solvent_57 / solvent_13,0.3160 / 0.2180 / 0.4660,331.04,-0.0411 / 0.0794 / 0.261,kdb
solvent_32 / solvent_57 / solvent_13,0.3180 / 0.2100 / 0.4720,331.09,-0.0276 / 0.1198 / 0.2287,kdb
solvent_32 / solvent_57 / solvent_13,0.3180 / 0.2520 / 0.4300,330.82,-0.0494 / 0.056 / 0.2996,kdb
solvent_32 / solvent_57 / solvent_13,0.3180 / 0.2420 / 0.4400,330.81,-0.0491 / 0.0927 / 0.2793,kdb
solvent_32 / solvent_57 / solvent_13,0.3190 / 0.2520 / 0.4290,330.81,-0.0649 / 0.0564 / 0.3114,kdb
solvent_32 / solvent_57 / solvent_13,0.3200 / 0.2450 / 0.4350,331.05,-0.0634 / 0.0888 / 0.2717,kdb
solvent_32 / solvent_57 / solvent_13,0.3320 / 0.2460 / 0.4220,331.06,-0.0727 / 0.0926 / 0.2762,kdb
solvent_32 / solvent_57 / solvent_13,0.3350 / 0.2280 / 0.4370,331.1,-0.0529 / 0.051 / 0.2787,kdb
solvent_32 / solvent_57 / solvent_13,0.3360 / 0.2470 / 0.4170,331.15,-0.0846 / 0.0896 / 0.2798,kdb
solvent_32 / solvent_57 / solvent_13,0.3380 / 0.2440 / 0.4180,331.15,-0.0815 / 0.052 / 0.2983,kdb
solvent_32 / solvent_57 / solvent_13,0.3380 / 0.2470 / 0.4150,331.17,-0.0882 / 0.0889 / 0.2814,kdb
solvent_32 / solvent_57 / solvent_13,0.3390 / 0.2470 / 0.4140,331.17,-0.0881 / 0.0889 / 0.2814,kdb
solvent_32 / solvent_57 / solvent_13,0.3400 / 0.2480 / 0.4120,331.13,-0.0897 / 0.0862 / 0.2879,kdb
solvent_32 / solvent_57 / solvent_13,0.3400 / 0.2410 / 0.4190,330.98,-0.0756 / 0.1239 / 0.2678,kdb
solvent_32 / solvent_57 / solvent_13,0.3430 / 0.2510 / 0.4060,331.12,-0.0801 / 0.0786 / 0.2863,kdb
solvent_32 / solvent_57 / solvent_13,0.3460 / 0.2410 / 0.4130,331,-0.0613 / 0.0479 / 0.2979,kdb
solvent_32 / solvent_57 / solvent_13,0.3460 / 0.2220 / 0.4320,331.03,-0.045 / 0.0662 / 0.2703,kdb
solvent_32 / solvent_57 / solvent_13,0.3530 / 0.2920 / 0.3550,331,-0.1168 / -0.0062 / 0.3962,kdb
solvent_32 / solvent_57 / solvent_13,0.3560 / 0.2420 / 0.4020,330.79,-0.054 / 0.0508 / 0.3098,kdb
solvent_32 / solvent_57 / solvent_13,0.3600 / 0.2300 / 0.4100,330.79,-0.0428 / 0.0841 / 0.2804,kdb
solvent_32 / solvent_57 / solvent_13,0.3610 / 0.2410 / 0.3980,331.01,-0.0586 / 0.0901 / 0.2715,kdb
solvent_32 / solvent_57 / solvent_13,0.3670 / 0.2830 / 0.3500,331.17,-0.1201 / 0.0269 / 0.363,kdb
solvent_32 / solvent_57 / solvent_13,0.3710 / 0.2330 / 0.3960,330.98,-0.0684 / 0.0424 / 0.3098,kdb
solvent_32 / solvent_57 / solvent_13,0.3720 / 0.2340 / 0.3940,331,-0.0555 / 0.0465 / 0.2945,kdb
solvent_32 / solvent_57 / solvent_13,0.3720 / 0.2230 / 0.4050,331.1,-0.0508 / 0.0777 / 0.2628,kdb
solvent_32 / solvent_57 / solvent_13,0.3790 / 0.3180 / 0.3030,331.23,-0.14 / -0.0122 / 0.4326,kdb
solvent_32 / solvent_57 / solvent_13,0.4100 / 0.2340 / 0.3560,330.81,-0.0539 / 0.0209 / 0.3294,kdb
solvent_32 / solvent_57 / solvent_13,0.4140 / 0.3040 / 0.2820,331.29,-0.1224 / -0.06 / 0.4595,kdb
solvent_32 / solvent_57 / solvent_13,0.5260 / 0.2660 / 0.2080,331.5,-0.0838 / -0.1875 / 0.5293,kdb
solvent_32 / solvent_57 / solvent_13,0.7560 / 0.1250 / 0.1190,330.39,-0.0178 / -0.4505 / 0.5881,kdb
solvent_32 / solvent_57 / solvent_13,0.3880 / 0.1190 / 0.4930,330.79,0.0728 / 0.0761 / 0.1754,kdb
solvent_32 / solvent_57 / solvent_13,0.3780 / 0.1250 / 0.4970,330.89,0.0725 / 0.0236 / 0.1854,kdb
solvent_32 / solvent_57 / solvent_13,0.5230 / 0.4500 / 0.0270,335.17,-0.1349 / -0.2364 / 1.1061,kdb
solvent_32 / solvent_57 / solvent_13,0.5210 / 0.4440 / 0.0350,334.86,-0.1372 / -0.2319 / 1.0547,kdb
solvent_32 / solvent_57 / solvent_13,0.3430 / 0.3990 / 0.2580,330.83,-0.2039 / 0.0002 / 0.5645,kdb
solvent_32 / solvent_57 / solvent_13,0.3310 / 0.3570 / 0.3120,330.66,-0.1728 / 0.0394 / 0.4649,kdb
solvent_32 / solvent_57 / solvent_13,0.7880 / 0.1840 / 0.0280,331.91,-0.0151 / -0.4874 / 0.7686,kdb
solvent_32 / solvent_57 / solvent_13,0.7320 / 0.1880 / 0.0800,331.43,-0.0311 / -0.4289 / 0.7035,kdb
solvent_32 / solvent_57 / solvent_13,0.4110 / 0.4710 / 0.1180,332.78,-0.2257 / -0.1257 / 0.8659,kdb
solvent_32 / solvent_57 / solvent_13,0.1520 / 0.0720 / 0.7760,332.57,0.2706 / 0.4840 / 0.0498,kdb
solvent_32 / solvent_57 / solvent_13,0.1470 / 0.0760 / 0.7770,332.62,0.2703 / 0.5138 / 0.0420,kdb
solvent_32 / solvent_57 / solvent_13,0.2210 / 0.6480 / 0.1310,330.93,-0.4745 / 0.0066 / 0.9668,kdb
solvent_32 / solvent_57 / solvent_13,0.2500 / 0.5990 / 0.1510,331.05,-0.4253 / 0.0039 / 0.8788,kdb
solvent_32 / solvent_57 / solvent_13,0.1420 / 0.1700 / 0.6880,331,0.0946 / 0.4722 / 0.1082,kdb
solvent_32 / solvent_57 / solvent_13,0.1620 / 0.2930 / 0.5450,329.65,-0.1275 / 0.3626 / 0.2163,kdb
solvent_32 / solvent_57 / solvent_13,0.2240 / 0.7320 / 0.0440,333.49,-0.4691 / -0.0373 / 1.337,kdb
solvent_32 / solvent_57 / solvent_13,0.2300 / 0.6200 / 0.1500,330.81,-0.4567 / 0.0134 / 0.8953,kdb
solvent_32 / solvent_57 / solvent_13,0.7380 / 0.1330 / 0.1290,330.46,-0.0198 / -0.4338 / 0.5769,kdb
solvent_32 / solvent_57 / solvent_13,0.6080 / 0.1090 / 0.2830,330.03,0.0066 / -0.2736 / 0.3686,kdb
solvent_32 / solvent_57 / solvent_13,0.5280 / 0.1000 / 0.3720,330.11,0.0388 / -0.1765 / 0.2792,kdb
solvent_32 / solvent_57 / solvent_13,0.0880 / 0.1420 / 0.7700,331.89,0.1557 / 0.5938 / 0.0564,kdb
solvent_60 / solvent_18 / solvent_229,0.0618 / 0.2110 / 0.7272,344.65,2.4080 / 0.4377 / -0.6850,kdb
solvent_60 / solvent_18 / solvent_229,0.0750 / 0.3263 / 0.5987,346.25,1.9906 / 0.3455 / -0.5994,kdb
solvent_60 / solvent_18 / solvent_229,0.0220 / 0.2480 / 0.7300,364.35,2.4019 / 0.4365 / -1.9493,kdb
solvent_60 / solvent_18 / solvent_229,0.0350 / 0.2350 / 0.7300,354.95,2.4772 / 0.4349 / 0.2405,kdb
solvent_60 / solvent_18 / solvent_229,0.0450 / 0.2230 / 0.7320,351.15,2.4698 / 0.3408 / -0.4332,kdb
solvent_60 / solvent_18 / solvent_229,0.0485 / 0.2233 / 0.7282,347.75,2.4653 / 0.5155 / -0.8962,kdb
solvent_60 / solvent_18 / solvent_229,0.0629 / 0.3201 / 0.6170,347.35,2.1223 / 0.3483 / -0.7037,kdb
solvent_60 / solvent_18 / solvent_229,0.1083 / 0.4464 / 0.4453,346.05,1.5234 / 0.1967 / -0.2899,kdb
solvent_60 / solvent_18 / solvent_229,0.0548 / 0.1957 / 0.7495,345.75,2.4763 / 0.5312 / -0.7902,kdb
solvent_60 / solvent_18 / solvent_229,0.0303 / 0.0091 / 0.9606,342.25,3.4522 / 1.4724 / -0.7978,kdb
solvent_60 / solvent_18 / solvent_229,0.0315 / 0.0257 / 0.9428,342.45,3.3832 / 1.0287 / -0.7930,kdb
solvent_60 / solvent_18 / solvent_229,0.0287 / 0.0317 / 0.9396,342.65,3.4544 / 1.0675 / -0.8035,kdb
solvent_60 / solvent_18 / solvent_229,0.0325 / 0.0479 / 0.9196,343.65,3.2630 / 1.0317 / -0.8511,kdb
solvent_60 / solvent_18 / solvent_229,0.0397 / 0.1166 / 0.8437,345.15,2.9352 / 0.6331 / -0.8678,kdb
solvent_18 / solvent_19 / solvent_80,0.1970 / 0.1170 / 0.6860,371.4,0.1394 / 1.3862 / 0.1848,kdb
solvent_18 / solvent_19 / solvent_80,0.1570 / 0.1530 / 0.6900,371.8,0.1700 / 1.2045 / 0.2712,kdb
solvent_18 / solvent_19 / solvent_80,0.3440 / 0.0460 / 0.6100,371.9,0.1544 / 1.4614 / -0.0326,kdb
solvent_18 / solvent_19 / solvent_80,0.2250 / 0.0920 / 0.6830,372.25,0.1747 / 1.4760 / -0.0304,kdb
solvent_18 / solvent_19 / solvent_80,0.1250 / 0.1370 / 0.7380,372.3,0.2820 / 1.4058 / 0.0179,kdb
solvent_18 / solvent_19 / solvent_80,0.1180 / 0.1320 / 0.7500,372.4,0.2499 / 1.4847 / -0.0160,kdb
solvent_18 / solvent_19 / solvent_80,0.1160 / 0.1290 / 0.7550,372.5,0.2793 / 1.4584 / 0.1259,kdb
solvent_18 / solvent_19 / solvent_80,0.2890 / 0.0600 / 0.6510,372.75,0.1539 / 1.5323 / -0.0411,kdb
solvent_18 / solvent_19 / solvent_80,0.1350 / 0.1120 / 0.7530,373.2,0.2346 / 1.5235 / 0.0724,kdb
solvent_18 / solvent_19 / solvent_80,0.1140 / 0.0960 / 0.7900,375.8,0.2114 / 1.5636 / 0.2361,kdb
solvent_18 / solvent_19 / solvent_80,0.1520 / 0.0780 / 0.7700,375.85,0.2055 / 1.6809 / 0.0298,kdb
solvent_18 / solvent_19 / solvent_80,0.1320 / 0.0900 / 0.7780,376.05,0.1739 / 1.6133 / 0.0970,kdb
solvent_18 / solvent_19 / solvent_80,0.0880 / 0.1020 / 0.8100,376.25,0.2797 / 1.5913 / 0.1426,kdb
solvent_18 / solvent_19 / solvent_80,0.2160 / 0.0550 / 0.7290,376.85,0.1683 / 1.6806 / -0.0427,kdb
solvent_18 / solvent_19 / solvent_80,0.0950 / 0.0850 / 0.8200,377.1,0.2534 / 1.7249 / 0.0859,kdb
solvent_18 / solvent_19 / solvent_80,0.1000 / 0.0950 / 0.8050,377.15,0.2008 / 1.6388 / 0.0247,kdb
solvent_18 / solvent_19 / solvent_80,0.1390 / 0.0710 / 0.7900,377.2,0.2190 / 1.7639 / -0.0369,kdb
solvent_18 / solvent_19 / solvent_80,0.1020 / 0.0880 / 0.8100,377.25,0.2385 / 1.6495 / 0.1177,kdb
solvent_18 / solvent_19 / solvent_80,0.2050 / 0.0590 / 0.7360,377.3,0.0768 / 1.6976 / 0.0873,kdb
solvent_18 / solvent_19 / solvent_80,0.0890 / 0.0840 / 0.8270,377.55,0.2689 / 1.6858 / 0.2016,kdb
solvent_18 / solvent_19 / solvent_80,0.1010 / 0.0850 / 0.8140,377.6,0.2352 / 1.6762 / 0.1007,kdb
solvent_18 / solvent_19 / solvent_80,0.2440 / 0.0350 / 0.7210,377.75,0.2450 / 1.6167 / -0.0124,kdb
solvent_18 / solvent_19 / solvent_80,0.0930 / 0.0830 / 0.8240,377.75,0.2492 / 1.7014 / 0.1448,kdb
solvent_18 / solvent_19 / solvent_80,0.0910 / 0.0890 / 0.8200,377.9,0.2502 / 1.5917 / 0.2448,kdb
solvent_18 / solvent_19 / solvent_80,0.0820 / 0.0790 / 0.8390,378.45,0.2742 / 1.7051 / 0.2436,kdb
solvent_18 / solvent_19 / solvent_80,0.0860 / 0.0850 / 0.8290,378.6,0.2181 / 1.6954 / 0.0957,kdb
solvent_18 / solvent_19 / solvent_80,0.0840 / 0.0870 / 0.8290,378.75,0.2332 / 1.6375 / 0.1709,kdb
solvent_18 / solvent_19 / solvent_80,0.0840 / 0.0710 / 0.8450,379.6,0.2983 / 1.7174 / 0.2515,kdb
solvent_18 / solvent_19 / solvent_80,0.1160 / 0.0820 / 0.8020,379.75,0.1264 / 1.5611 / 0.1526,kdb
solvent_18 / solvent_19 / solvent_80,0.0880 / 0.0660 / 0.8460,380.2,0.2691 / 1.8420 / 0.0529,kdb
solvent_18 / solvent_19 / solvent_80,0.1210 / 0.0650 / 0.8140,382.1,0.1729 / 1.5466 / 0.2083,kdb
solvent_18 / solvent_19 / solvent_80,0.1260 / 0.0620 / 0.8120,382.15,0.1794 / 1.6540 / 0.0373,kdb
solvent_18 / solvent_19 / solvent_80,0.1330 / 0.0560 / 0.8110,382.45,0.1913 / 1.7174 / -0.0313,kdb
solvent_18 / solvent_19 / solvent_80,0.0770 / 0.0620 / 0.8610,383.35,0.2845 / 1.7564 / 0.0992,kdb
solvent_18 / solvent_19 / solvent_80,0.0850 / 0.0580 / 0.8570,384.55,0.2319 / 1.7561 / 0.0567,kdb
solvent_18 / solvent_19 / solvent_80,0.0790 / 0.0510 / 0.8700,385.9,0.2904 / 1.8507 / -0.0258,kdb
solvent_18 / solvent_19 / solvent_80,0.1620 / 0.0320 / 0.8060,386.1,0.2054 / 1.7112 / -0.0207,kdb
solvent_18 / solvent_19 / solvent_80,0.1550 / 0.0430 / 0.8020,386.35,0.1702 / 1.5365 / -0.0281,kdb
solvent_18 / solvent_19 / solvent_80,0.0780 / 0.0460 / 0.8760,387.35,0.3225 / 1.8491 / -0.0188,kdb
solvent_18 / solvent_19 / solvent_80,0.1820 / 0.0230 / 0.7950,387.95,0.1819 / 1.6058 / -0.0218,kdb
solvent_18 / solvent_19 / solvent_80,0.0890 / 0.0410 / 0.8700,389.2,0.2670 / 1.8009 / -0.0244,kdb
solvent_18 / solvent_19 / solvent_80,0.0810 / 0.0470 / 0.8720,389.35,0.2097 / 1.7528 / -0.0175,kdb
solvent_18 / solvent_19 / solvent_80,0.0840 / 0.0380 / 0.8780,389.85,0.2960 / 1.8399 / -0.0128,kdb
solvent_18 / solvent_19 / solvent_80,0.1030 / 0.0300 / 0.8670,391.3,0.2529 / 1.8219 / -0.0127,kdb
solvent_18 / solvent_19 / solvent_80,0.0930 / 0.0320 / 0.8750,391.8,0.2854 / 1.7785 / -0.0054,kdb
solvent_18 / solvent_19 / solvent_80,0.0990 / 0.0290 / 0.8720,392.1,0.2810 / 1.8033 / -0.0209,kdb
solvent_18 / solvent_19 / solvent_80,0.0930 / 0.0270 / 0.8800,394.1,0.2714 / 1.7704 / -0.0152,kdb
solvent_18 / solvent_19 / solvent_80,0.0790 / 0.0320 / 0.8890,394.35,0.2354 / 1.7810 / -0.0184,kdb
solvent_18 / solvent_19 / solvent_80,0.0900 / 0.0330 / 0.8770,395.35,0.1166 / 1.6203 / 0.0321,kdb
solvent_18 / solvent_19 / solvent_80,0.0840 / 0.0260 / 0.8900,396.2,0.2239 / 1.8118 / -0.0389,kdb
solvent_18 / solvent_19 / solvent_15,0.9070 / 0.0530 / 0.0400,351.55,-0.0018 / 0.4826 / 0.9674,kdb
solvent_18 / solvent_19 / solvent_15,0.8810 / 0.0510 / 0.0680,350.45,-0.0007 / 0.5133 / 0.922,kdb
solvent_18 / solvent_19 / solvent_15,0.7830 / 0.1000 / 0.1170,348.65,0.0117 / 0.5233 / 0.8802,kdb
solvent_18 / solvent_19 / solvent_15,0.6790 / 0.1890 / 0.1320,347.75,0.0271 / 0.4523 / 0.9516,kdb
solvent_18 / solvent_19 / solvent_15,0.6540 / 0.2590 / 0.0870,349.45,0.0139 / 0.3139 / 1.1592,kdb
solvent_18 / solvent_19 / solvent_15,0.6090 / 0.2080 / 0.1830,346.55,0.0100 / 0.4666 / 0.9184,kdb
solvent_18 / solvent_19 / solvent_15,0.5310 / 0.3940 / 0.0750,349.55,0.0310 / 0.1265 / 1.5120,kdb
solvent_18 / solvent_19 / solvent_15,0.5080 / 0.3190 / 0.1730,346.25,0.0066 / 0.3168 / 1.0972,kdb
solvent_18 / solvent_19 / solvent_15,0.4990 / 0.3800 / 0.1210,347.55,0.0256 / 0.2035 / 1.3050,kdb
solvent_18 / solvent_19 / solvent_15,0.4780 / 0.3630 / 0.1590,346.45,0.0237 / 0.2686 / 1.1673,kdb
solvent_18 / solvent_19 / solvent_15,0.4750 / 0.3590 / 0.1660,346.35,0.0154 / 0.2690 / 1.1528,kdb
solvent_18 / solvent_19 / solvent_15,0.4470 / 0.3030 / 0.2500,344.85,-0.0102 / 0.4763 / 0.9148,kdb
solvent_32 / solvent_57 / solvent_18,0.0190 / 0.0610 / 0.9200,351,0.3938 / -0.1889 / 0.0000,kdb
solvent_32 / solvent_57 / solvent_18,0.0540 / 0.5220 / 0.4240,342.73,-0.121 / -0.0923 / -0.0301,kdb
solvent_32 / solvent_57 / solvent_18,0.0590 / 0.5350 / 0.4060,342.42,-0.1219 / -0.09 / -0.036,kdb
solvent_32 / solvent_57 / solvent_18,0.0630 / 0.2920 / 0.6450,346,0.1074 / -0.1632 / 0.0059,kdb
solvent_32 / solvent_57 / solvent_18,0.0670 / 0.8830 / 0.0500,336.13,-0.6017 / -0.0238 / -0.1334,kdb
solvent_32 / solvent_57 / solvent_18,0.0710 / 0.5710 / 0.3580,341.58,-0.1741 / -0.0849 / -0.0298,kdb
solvent_32 / solvent_57 / solvent_18,0.0750 / 0.2790 / 0.6460,345.76,0.1157 / -0.1698 / 0.0082,kdb
solvent_32 / solvent_57 / solvent_18,0.0750 / 0.2960 / 0.6290,345.56,0.1078 / -0.1635 / 0.0037,kdb
solvent_32 / solvent_57 / solvent_18,0.0830 / 0.8510 / 0.0660,336.62,-0.5496 / -0.03 / -0.0916,kdb
solvent_32 / solvent_57 / solvent_18,0.0920 / 0.6500 / 0.2580,340.07,-0.279 / -0.0708 / -0.0466,kdb
solvent_32 / solvent_57 / solvent_18,0.0950 / 0.4870 / 0.4180,342.56,-0.1018 / -0.1226 / 0.0067,kdb
solvent_32 / solvent_57 / solvent_18,0.0960 / 0.2610 / 0.6430,345.32,0.1235 / -0.1845 / 0.0115,kdb
solvent_32 / solvent_57 / solvent_18,0.1010 / 0.2780 / 0.6210,344.98,0.1209 / -0.1842 / 0.0088,kdb
solvent_32 / solvent_57 / solvent_18,0.1060 / 0.6800 / 0.2140,339.41,-0.322 / -0.0671 / -0.0359,kdb
solvent_32 / solvent_57 / solvent_18,0.1100 / 0.6110 / 0.2790,340.5,-0.2462 / -0.0866 / -0.0167,kdb
solvent_32 / solvent_57 / solvent_18,0.1110 / 0.4080 / 0.4810,343.28,-0.0152 / -0.1485 / 0.0085,kdb
solvent_32 / solvent_57 / solvent_18,0.1180 / 0.7920 / 0.0900,337.44,-0.4437 / -0.0509 / 0.022,kdb
solvent_32 / solvent_57 / solvent_18,0.1240 / 0.4950 / 0.3810,341.94,-0.1197 / -0.1285 / 0.0179,kdb
solvent_32 / solvent_57 / solvent_18,0.1300 / 0.1510 / 0.7190,345.11,0.1987 / -0.2439 / 0.0204,kdb
solvent_32 / solvent_57 / solvent_18,0.1450 / 0.5740 / 0.2810,340.6,-0.2101 / -0.1052 / 0.0052,kdb
solvent_32 / solvent_57 / solvent_18,0.1640 / 0.5440 / 0.2920,340.74,-0.1802 / -0.1235 / 0.029,kdb
solvent_32 / solvent_57 / solvent_18,0.1640 / 0.4220 / 0.4140,342.1,-0.0524 / -0.1648 / 0.0282,kdb
solvent_32 / solvent_57 / solvent_18,0.1670 / 0.3250 / 0.5080,342.89,0.0319 / -0.2002 / 0.0325,kdb
solvent_32 / solvent_57 / solvent_18,0.1720 / 0.1920 / 0.6360,343.57,0.1365 / -0.2587 / 0.0373,kdb
solvent_32 / solvent_57 / solvent_18,0.1800 / 0.6820 / 0.1380,338.7,-0.3087 / -0.1015 / 0.1393,kdb
solvent_32 / solvent_57 / solvent_18,0.1910 / 0.6350 / 0.1740,339.25,-0.2852 / -0.0988 / 0.0472,kdb
solvent_32 / solvent_57 / solvent_18,0.1940 / 0.2100 / 0.5960,342.87,0.1148 / -0.2505 / 0.0370,kdb
solvent_32 / solvent_57 / solvent_18,0.2000 / 0.6150 / 0.1850,339.44,-0.2647 / -0.1069 / 0.0462,kdb
solvent_32 / solvent_57 / solvent_18,0.2030 / 0.5700 / 0.2270,339.92,-0.2227 / -0.1312 / 0.0927,kdb
solvent_32 / solvent_57 / solvent_18,0.2210 / 0.5640 / 0.2150,339.76,-0.2073 / -0.1305 / 0.062,kdb
solvent_32 / solvent_57 / solvent_18,0.2260 / 0.5960 / 0.1780,339.35,-0.2447 / -0.1191 / 0.0716,kdb
solvent_32 / solvent_57 / solvent_18,0.2350 / 0.3350 / 0.4300,341.38,-0.0098 / -0.2297 / 0.0729,kdb
solvent_32 / solvent_57 / solvent_18,0.2410 / 0.2560 / 0.5030,341.61,0.0544 / -0.2724 / 0.0662,kdb
solvent_32 / solvent_57 / solvent_18,0.2510 / 0.0990 / 0.6500,341.67,0.1539 / -0.3459 / 0.0513,kdb
solvent_32 / solvent_57 / solvent_18,0.2650 / 0.1790 / 0.5560,341.22,0.0930 / -0.3180 / 0.0719,kdb
solvent_32 / solvent_57 / solvent_18,0.2740 / 0.3590 / 0.3670,340.53,-0.0399 / -0.2346 / 0.0951,kdb
solvent_32 / solvent_57 / solvent_18,0.2760 / 0.4340 / 0.2900,340.1,-0.0988 / -0.1991 / 0.0964,kdb
solvent_32 / solvent_57 / solvent_18,0.2930 / 0.4880 / 0.2190,339.54,-0.1464 / -0.1817 / 0.1101,kdb
solvent_32 / solvent_57 / solvent_18,0.3020 / 0.5110 / 0.1870,339.24,-0.1671 / -0.1762 / 0.1346,kdb
solvent_32 / solvent_57 / solvent_18,0.3130 / 0.3180 / 0.3690,339.95,-0.0194 / -0.2718 / 0.1166,kdb
solvent_32 / solvent_57 / solvent_18,0.3390 / 0.5910 / 0.0700,338.26,-0.2345 / -0.1448 / 0.1499,kdb
solvent_32 / solvent_57 / solvent_18,0.3420 / 0.2150 / 0.4430,339.48,0.0522 / -0.3375 / 0.0975,kdb
solvent_32 / solvent_57 / solvent_18,0.3430 / 0.2760 / 0.3810,339.45,0.0117 / -0.3082 / 0.1126,kdb
solvent_32 / solvent_57 / solvent_18,0.3770 / 0.4110 / 0.2120,338.68,-0.0854 / -0.2481 / 0.1524,kdb
solvent_32 / solvent_57 / solvent_18,0.3840 / 0.3870 / 0.2290,338.6,-0.0699 / -0.263 / 0.1591,kdb
solvent_32 / solvent_57 / solvent_18,0.4400 / 0.1440 / 0.4160,337.49,0.0667 / -0.4343 / 0.1133,kdb
solvent_32 / solvent_57 / solvent_18,0.4480 / 0.2670 / 0.2850,337.64,-0.0027 / -0.3586 / 0.1584,kdb
solvent_32 / solvent_57 / solvent_18,0.5780 / 0.3360 / 0.0860,335.88,-0.052 / -0.3423 / 0.2572,kdb
solvent_32 / solvent_57 / solvent_18,0.6080 / 0.3180 / 0.0740,335.44,-0.0438 / -0.3675 / 0.287,kdb
solvent_32 / solvent_57 / solvent_18,0.6420 / 0.2890 / 0.0690,334.9,-0.0339 / -0.3878 / 0.2804,kdb
solvent_32 / solvent_57 / solvent_18,0.6840 / 0.0910 / 0.2250,333.44,0.0232 / -0.5463 / 0.2145,kdb
solvent_32 / solvent_57 / solvent_18,0.7680 / 0.1170 / 0.1150,332.48,0.0056 / -0.5274 / 0.2737,kdb
solvent_32 / solvent_57 / solvent_18,0.8780 / 0.0530 / 0.0690,330.85,0.0061 / -0.6126 / 0.3188,kdb
solvent_18 / solvent_50 / solvent_60,0.8610 / 0.0660 / 0.0730,350.6,0.0163 / 0.1165 / 0.2867,kdb
solvent_18 / solvent_50 / solvent_60,0.8060 / 0.0670 / 0.1270,349.2,0.0302 / 0.1594 / 0.2282,kdb
solvent_18 / solvent_50 / solvent_60,0.7320 / 0.0680 / 0.2000,347.7,0.0353 / 0.2202 / 0.2004,kdb
solvent_18 / solvent_50 / solvent_60,0.6370 / 0.0700 / 0.2930,346.3,0.0615 / 0.2493 / 0.1335,kdb
solvent_18 / solvent_50 / solvent_60,0.5440 / 0.0710 / 0.3850,345.1,0.0927 / 0.2151 / 0.1004,kdb
solvent_18 / solvent_50 / solvent_60,0.4610 / 0.0670 / 0.4720,344.2,0.1680 / 0.0484 / 0.0568,kdb
solvent_18 / solvent_50 / solvent_60,0.5120 / 0.1100 / 0.3780,345.3,0.1070 / 0.1306 / 0.0891,kdb
solvent_18 / solvent_50 / solvent_60,0.4430 / 0.0960 / 0.4610,344.4,0.1664 / 0.1005 / 0.0499,kdb
solvent_18 / solvent_50 / solvent_60,0.3950 / 0.0790 / 0.5260,343.85,0.1551 / 0.1024 / 0.0563,kdb
solvent_18 / solvent_50 / solvent_60,0.3420 / 0.0640 / 0.5940,343.4,0.1962 / 0.1389 / 0.0278,kdb
