solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_521 / solvent_702,0.10 / 0.90,298.15,2.358232570 / 0.119829500,cosmo
solvent_541 / solvent_604,0.10 / 0.90,298.15,-0.02372226 / -0.00075139,cosmo
solvent_4 / solvent_789,0.10 / 0.90,298.15,0.257380120 / 0.004034200,cosmo
solvent_358 / solvent_65,0.10 / 0.90,298.15,0.447873610 / 0.009447090,cosmo
solvent_275 / solvent_479,0.10 / 0.90,298.15,0.205966230 / 0.007467620,cosmo
solvent_115 / solvent_561,0.10 / 0.90,298.15,-0.02484913 / -0.00027606,cosmo
solvent_618 / solvent_795,0.10 / 0.90,298.15,0.044945700 / 0.000584010,cosmo
solvent_80 / solvent_625,0.10 / 0.90,298.15,-0.20557458 / -0.00296677,cosmo
solvent_427 / solvent_506,0.10 / 0.90,298.15,-0.13762941 / -0.00099701,cosmo
solvent_298 / solvent_380,0.10 / 0.90,298.15,0.468168830 / 0.008017690,cosmo
solvent_320 / solvent_4,0.10 / 0.90,298.15,0.106736030 / 0.001457190,cosmo
solvent_113 / solvent_2,0.10 / 0.90,298.15,-0.03718098 / -0.00061775,cosmo
solvent_723 / solvent_764,0.10 / 0.90,298.15,0.541261120 / 0.003619040,cosmo
solvent_249 / solvent_26,0.10 / 0.90,298.15,3.050180490 / 0.040114740,cosmo
solvent_417 / solvent_574,0.10 / 0.90,298.15,0.602917550 / 0.002379170,cosmo
solvent_498 / solvent_557,0.10 / 0.90,298.15,1.406667430 / 0.032269970,cosmo
solvent_11 / solvent_44,0.10 / 0.90,298.15,1.312846280 / 0.014146300,cosmo
solvent_352 / solvent_107,0.10 / 0.90,298.15,-0.52071043 / -0.00518762,cosmo
solvent_162 / solvent_720,0.10 / 0.90,298.15,2.332538460 / 0.022055800,cosmo
solvent_373 / solvent_30,0.10 / 0.90,298.15,-0.29431803 / -0.00281312,cosmo
solvent_518 / solvent_16,0.10 / 0.90,298.15,4.200860680 / 0.102706850,cosmo
solvent_390 / solvent_576,0.10 / 0.90,298.15,0.038792360 / 0.000329490,cosmo
solvent_39 / solvent_656,0.10 / 0.90,298.15,-0.88645013 / -0.00427571,cosmo
solvent_401 / solvent_604,0.10 / 0.90,298.15,-0.63796362 / -0.00621867,cosmo
solvent_529 / solvent_614,0.10 / 0.90,298.15,-0.31603212 / -0.01678984,cosmo
solvent_297 / solvent_584,0.10 / 0.90,298.15,0.008175190 / 0.000452410,cosmo
solvent_328 / solvent_773,0.10 / 0.90,298.15,-0.23849678 / -0.00163332,cosmo
solvent_337 / solvent_768,0.10 / 0.90,298.15,-0.04232088 / -0.05506235,cosmo
solvent_380 / solvent_609,0.10 / 0.90,298.15,-0.28679889 / -0.00174854,cosmo
solvent_418 / solvent_489,0.10 / 0.90,298.15,0.965178490 / 0.007094420,cosmo
solvent_428 / solvent_768,0.10 / 0.90,298.15,1.388384080 / 0.023157460,cosmo
solvent_298 / solvent_92,0.10 / 0.90,298.15,3.465967770 / 0.046374410,cosmo
solvent_504 / solvent_53,0.10 / 0.90,298.15,0.192671450 / 0.017304620,cosmo
solvent_456 / solvent_34,0.10 / 0.90,298.15,0.271059250 / 0.003376060,cosmo
solvent_329 / solvent_618,0.10 / 0.90,298.15,-0.26390025 / -0.00052022,cosmo
solvent_380 / solvent_525,0.10 / 0.90,298.15,0.509240460 / 0.008126030,cosmo
solvent_430 / solvent_512,0.10 / 0.90,298.15,0.497282320 / 0.006155280,cosmo
solvent_353 / solvent_91,0.10 / 0.90,298.15,-0.05437104 / 0.00109423,cosmo
solvent_702 / solvent_5,0.10 / 0.90,298.15,0.440904240 / 0.009263160,cosmo
solvent_305 / solvent_387,0.10 / 0.90,298.15,0.229906670 / 0.004502810,cosmo
solvent_352 / solvent_524,0.10 / 0.90,298.15,-0.22242637 / 0.00059498,cosmo
solvent_206 / solvent_716,0.10 / 0.90,298.15,0.576787120 / 0.005152600,cosmo
solvent_265 / solvent_199,0.10 / 0.90,298.15,-0.03746203 / 0.0007254,cosmo
solvent_164 / solvent_615,0.10 / 0.90,298.15,0.463580110 / 0.004973830,cosmo
solvent_568 / solvent_577,0.10 / 0.90,298.15,0.239647770 / 0.003758080,cosmo
solvent_675 / solvent_692,0.10 / 0.90,298.15,0.114909440 / 0.001190760,cosmo
solvent_28 / solvent_713,0.10 / 0.90,298.15,-0.13171255 / -0.00139484,cosmo
solvent_318 / solvent_461,0.10 / 0.90,298.15,0.793106730 / 0.013348550,cosmo
solvent_567 / solvent_582,0.10 / 0.90,298.15,0.518408990 / 0.006795960,cosmo
solvent_313 / solvent_2,0.10 / 0.90,298.15,1.735628600 / 0.032110370,cosmo
solvent_622 / solvent_724,0.10 / 0.90,298.15,0.099972270 / 0.001073800,cosmo
solvent_606 / solvent_95,0.10 / 0.90,298.15,0.088371490 / 0.000896210,cosmo
solvent_339 / solvent_640,0.10 / 0.90,298.15,-0.00923919 / -0.00028649,cosmo
solvent_404 / solvent_530,0.10 / 0.90,298.15,-0.55682878 / -0.00589874,cosmo
solvent_15 / solvent_475,0.10 / 0.90,298.15,0.934003930 / 0.015158830,cosmo
solvent_474 / solvent_791,0.10 / 0.90,298.15,-0.34587271 / -0.00404155,cosmo
solvent_509 / solvent_796,0.10 / 0.90,298.15,4.036689020 / 0.125307100,cosmo
solvent_388 / solvent_9,0.10 / 0.90,298.15,0.132832270 / 0.002683900,cosmo
solvent_528 / solvent_785,0.10 / 0.90,298.15,-0.17254506 / -0.00397787,cosmo
solvent_615 / solvent_658,0.10 / 0.90,298.15,1.297779110 / 0.147264860,cosmo
solvent_344 / solvent_612,0.10 / 0.90,298.15,0.543079810 / 0.015150400,cosmo
solvent_276 / solvent_497,0.10 / 0.90,298.15,1.204181040 / 0.014758890,cosmo
solvent_349 / solvent_710,0.10 / 0.90,298.15,0.528526470 / 0.008407030,cosmo
solvent_285 / solvent_453,0.10 / 0.90,298.15,0.385659120 / 0.002013560,cosmo
solvent_287 / solvent_710,0.10 / 0.90,298.15,2.689332530 / 0.116219170,cosmo
solvent_46 / solvent_446,0.10 / 0.90,298.15,0.156071570 / 0.003756190,cosmo
solvent_682 / solvent_778,0.10 / 0.90,298.15,0.919397740 / 0.019539840,cosmo
solvent_161 / solvent_556,0.10 / 0.90,298.15,-0.38310008 / -0.00468332,cosmo
solvent_420 / solvent_118,0.10 / 0.90,298.15,0.091284600 / -0.001943960,cosmo
solvent_531 / solvent_577,0.10 / 0.90,298.15,-0.03352823 / -0.0002606,cosmo
solvent_329 / solvent_331,0.10 / 0.90,298.15,0.152625960 / 0.002128490,cosmo
solvent_473 / solvent_648,0.10 / 0.90,298.15,0.274100590 / 0.005303230,cosmo
solvent_305 / solvent_620,0.10 / 0.90,298.15,1.327299510 / 0.011331280,cosmo
solvent_8 / solvent_707,0.10 / 0.90,298.15,-0.51284777 / -0.00530637,cosmo
solvent_773 / solvent_774,0.10 / 0.90,298.15,-0.1724957 / -0.00620507,cosmo
solvent_185 / solvent_532,0.10 / 0.90,298.15,-0.031822 / -0.00029445,cosmo
solvent_402 / solvent_81,0.10 / 0.90,298.15,-0.39390023 / -0.00567504,cosmo
solvent_584 / solvent_13,0.10 / 0.90,298.15,0.926177540 / 0.006922080,cosmo
solvent_98 / solvent_80,0.10 / 0.90,298.15,0.465391510 / 0.006595150,cosmo
solvent_414 / solvent_746,0.10 / 0.90,298.15,-0.64361106 / -0.00559883,cosmo
solvent_17 / solvent_789,0.10 / 0.90,298.15,1.055830630 / 0.061581060,cosmo
solvent_107 / solvent_681,0.10 / 0.90,298.15,-0.57475084 / -0.0039255,cosmo
solvent_15 / solvent_107,0.10 / 0.90,298.15,0.268591530 / 0.002238070,cosmo
solvent_304 / solvent_555,0.10 / 0.90,298.15,0.004342660 / 0.000308700,cosmo
solvent_489 / solvent_770,0.10 / 0.90,298.15,0.254912240 / 0.009583760,cosmo
solvent_631 / solvent_654,0.10 / 0.90,298.15,0.130383420 / 0.001371910,cosmo
solvent_528 / solvent_663,0.10 / 0.90,298.15,-0.13912558 / -0.00175135,cosmo
solvent_431 / solvent_714,0.10 / 0.90,298.15,0.151804650 / 0.001520390,cosmo
solvent_750 / solvent_764,0.10 / 0.90,298.15,0.518116410 / 0.004406070,cosmo
solvent_354 / solvent_448,0.10 / 0.90,298.15,0.739986460 / 0.019259180,cosmo
solvent_295 / solvent_175,0.10 / 0.90,298.15,0.012927390 / 0.000212360,cosmo
solvent_377 / solvent_594,0.10 / 0.90,298.15,-2.7421114 / -0.00760254,cosmo
solvent_262 / solvent_322,0.10 / 0.90,298.15,0.989069730 / 0.008904900,cosmo
solvent_420 / solvent_728,0.10 / 0.90,298.15,0.216754040 / -0.001189370,cosmo
solvent_108 / solvent_470,0.10 / 0.90,298.15,0.460461770 / 0.007478460,cosmo
solvent_358 / solvent_675,0.10 / 0.90,298.15,0.749949040 / 0.022868960,cosmo
solvent_381 / solvent_188,0.10 / 0.90,298.15,1.082292650 / 0.041958670,cosmo
solvent_107 / solvent_594,0.10 / 0.90,298.15,-7.25688319 / -0.05534955,cosmo
solvent_297 / solvent_208,0.10 / 0.90,298.15,0.058983390 / 0.000685520,cosmo
solvent_284 / solvent_621,0.10 / 0.90,298.15,-0.68348252 / -0.00942033,cosmo
solvent_442 / solvent_499,0.10 / 0.90,298.15,-0.17191397 / -0.00188278,cosmo
solvent_290 / solvent_7,0.10 / 0.90,298.15,1.686851420 / 0.125227980,cosmo
solvent_28 / solvent_541,0.10 / 0.90,298.15,0.378459570 / 0.025589860,cosmo
solvent_38 / solvent_445,0.10 / 0.90,298.15,0.803459780 / 0.049400760,cosmo
solvent_160 / solvent_42,0.10 / 0.90,298.15,1.077858930 / 0.047804110,cosmo
solvent_291 / solvent_722,0.10 / 0.90,298.15,0.417844710 / 0.008308310,cosmo
solvent_545 / solvent_576,0.10 / 0.90,298.15,0.961415840 / 0.014993470,cosmo
solvent_699 / solvent_763,0.10 / 0.90,298.15,0.854953340 / 0.007851490,cosmo
solvent_293 / solvent_681,0.10 / 0.90,298.15,1.217518180 / 0.017594430,cosmo
solvent_311 / solvent_506,0.10 / 0.90,298.15,0.094790350 / 0.001559510,cosmo
solvent_401 / solvent_764,0.10 / 0.90,298.15,0.012519480 / -0.000396900,cosmo
solvent_310 / solvent_377,0.10 / 0.90,298.15,-0.04579659 / -0.000899,cosmo
solvent_592 / solvent_610,0.10 / 0.90,298.15,1.378755100 / 0.049380880,cosmo
solvent_386 / solvent_82,0.10 / 0.90,298.15,0.090328330 / 0.002356950,cosmo
solvent_322 / solvent_797,0.10 / 0.90,298.15,-0.8831125 / -0.01004707,cosmo
solvent_305 / solvent_446,0.10 / 0.90,298.15,-0.04145291 / -0.00058596,cosmo
solvent_286 / solvent_93,0.10 / 0.90,298.15,2.594724000 / 0.095474330,cosmo
solvent_298 / solvent_72,0.10 / 0.90,298.15,2.710005370 / 0.036535040,cosmo
solvent_171 / solvent_676,0.10 / 0.90,298.15,-0.77191362 / -0.0052533,cosmo
solvent_375 / solvent_44,0.10 / 0.90,298.15,1.778313790 / 0.050362120,cosmo
solvent_370 / solvent_702,0.10 / 0.90,298.15,-0.16251065 / -0.00149617,cosmo
solvent_374 / solvent_614,0.10 / 0.90,298.15,0.003443980 / 0.000231330,cosmo
solvent_456 / solvent_613,0.10 / 0.90,298.15,0.006961000 / -0.000711150,cosmo
solvent_144 / solvent_121,0.10 / 0.90,298.15,0.528023580 / 0.002953550,cosmo
solvent_464 / solvent_609,0.10 / 0.90,298.15,-0.62204062 / -0.00228117,cosmo
solvent_26 / solvent_625,0.10 / 0.90,298.15,2.491508210 / 0.066196370,cosmo
solvent_690 / solvent_791,0.10 / 0.90,298.15,-0.07098129 / -0.00099441,cosmo
solvent_349 / solvent_744,0.10 / 0.90,298.15,-0.3984441 / -0.00486706,cosmo
solvent_89 / solvent_751,0.10 / 0.90,298.15,0.625617940 / 0.008157880,cosmo
solvent_545 / solvent_767,0.10 / 0.90,298.15,-6.16599815 / -0.06955566,cosmo
solvent_267 / solvent_44,0.10 / 0.90,298.15,0.781777350 / 0.008186130,cosmo
solvent_4 / solvent_649,0.10 / 0.90,298.15,0.691960860 / 0.011206960,cosmo
solvent_50 / solvent_72,0.10 / 0.90,298.15,3.193570560 / 0.035396180,cosmo
solvent_556 / solvent_717,0.10 / 0.90,298.15,0.520422650 / -0.001391640,cosmo
solvent_55 / solvent_527,0.10 / 0.90,298.15,1.451148320 / 0.007040370,cosmo
solvent_410 / solvent_608,0.10 / 0.90,298.15,0.361688690 / 0.002893420,cosmo
solvent_124 / solvent_488,0.10 / 0.90,298.15,0.299998680 / 0.001432470,cosmo
solvent_556 / solvent_716,0.10 / 0.90,298.15,0.047310330 / 0.000839360,cosmo
solvent_759 / solvent_764,0.10 / 0.90,298.15,1.194380760 / 0.036246260,cosmo
solvent_296 / solvent_677,0.10 / 0.90,298.15,-0.0577398 / -0.00126279,cosmo
solvent_271 / solvent_626,0.10 / 0.90,298.15,0.750659850 / 0.022144480,cosmo
solvent_261 / solvent_669,0.10 / 0.90,298.15,-0.87753634 / -0.01050201,cosmo
solvent_411 / solvent_598,0.10 / 0.90,298.15,-0.18641438 / 0.01213222,cosmo
solvent_374 / solvent_491,0.10 / 0.90,298.15,0.563741030 / 0.009253260,cosmo
solvent_270 / solvent_456,0.10 / 0.90,298.15,-0.02323325 / -0.00028542,cosmo
solvent_113 / solvent_524,0.10 / 0.90,298.15,2.412854000 / 0.029132510,cosmo
solvent_403 / solvent_551,0.10 / 0.90,298.15,1.019052650 / 0.038256390,cosmo
solvent_443 / solvent_487,0.10 / 0.90,298.15,-0.96736574 / -0.01935012,cosmo
solvent_433 / solvent_572,0.10 / 0.90,298.15,0.051545550 / 0.000498310,cosmo
solvent_382 / solvent_119,0.10 / 0.90,298.15,-2.39636226 / 0.00229357,cosmo
solvent_20 / solvent_551,0.10 / 0.90,298.15,0.823765510 / 0.007539970,cosmo
solvent_335 / solvent_745,0.10 / 0.90,298.15,0.282412500 / 0.008265100,cosmo
solvent_342 / solvent_560,0.10 / 0.90,298.15,0.017717300 / 0.000322880,cosmo
solvent_480 / solvent_763,0.10 / 0.90,298.15,0.434270830 / 0.001194000,cosmo
solvent_228 / solvent_680,0.10 / 0.90,298.15,0.115150690 / 0.000245640,cosmo
solvent_348 / solvent_211,0.10 / 0.90,298.15,0.023207540 / 0.001295530,cosmo
solvent_371 / solvent_60,0.10 / 0.90,298.15,0.313633920 / 0.004862580,cosmo
solvent_314 / solvent_420,0.10 / 0.90,298.15,-0.00626609 / 0.0000966,cosmo
solvent_590 / solvent_748,0.10 / 0.90,298.15,0.739929780 / 0.012068360,cosmo
solvent_413 / solvent_16,0.10 / 0.90,298.15,1.577230320 / 0.048107800,cosmo
solvent_475 / solvent_732,0.10 / 0.90,298.15,0.669492290 / 0.004201030,cosmo
solvent_379 / solvent_93,0.10 / 0.90,298.15,0.263754710 / 0.002988300,cosmo
solvent_452 / solvent_703,0.10 / 0.90,298.15,-0.03554138 / -0.00039452,cosmo
solvent_391 / solvent_750,0.10 / 0.90,298.15,0.046414110 / 0.000482530,cosmo
solvent_313 / solvent_462,0.10 / 0.90,298.15,-0.4484998 / -0.00595533,cosmo
solvent_115 / solvent_758,0.10 / 0.90,298.15,-0.15738928 / -0.00397268,cosmo
solvent_204 / solvent_387,0.10 / 0.90,298.15,1.024183050 / 0.044630740,cosmo
solvent_281 / solvent_18,0.10 / 0.90,298.15,0.043649990 / 0.000635730,cosmo
solvent_313 / solvent_46,0.10 / 0.90,298.15,1.319279090 / 0.016390610,cosmo
solvent_28 / solvent_740,0.10 / 0.90,298.15,-1.14779362 / 0.00499812,cosmo
solvent_268 / solvent_626,0.10 / 0.90,298.15,-0.18216758 / -0.01161887,cosmo
solvent_482 / solvent_773,0.10 / 0.90,298.15,-0.07989329 / -0.00049324,cosmo
solvent_208 / solvent_503,0.10 / 0.90,298.15,0.222257240 / 0.000489340,cosmo
solvent_211 / solvent_179,0.10 / 0.90,298.15,-0.32608157 / -0.00409328,cosmo
solvent_307 / solvent_484,0.10 / 0.90,298.15,0.093018850 / 0.001395410,cosmo
solvent_161 / solvent_678,0.10 / 0.90,298.15,-0.35566335 / -0.00565402,cosmo
solvent_424 / solvent_632,0.10 / 0.90,298.15,0.601410930 / 0.012132070,cosmo
solvent_515 / solvent_665,0.10 / 0.90,298.15,0.362092060 / 0.018428020,cosmo
solvent_330 / solvent_711,0.10 / 0.90,298.15,4.369559460 / 0.061394690,cosmo
solvent_373 / solvent_168,0.10 / 0.90,298.15,-0.80343323 / -0.01455485,cosmo
solvent_501 / solvent_507,0.10 / 0.90,298.15,0.671856320 / 0.009964480,cosmo
solvent_106 / solvent_721,0.10 / 0.90,298.15,-0.2648576 / -0.00383389,cosmo
solvent_459 / solvent_790,0.10 / 0.90,298.15,1.111208270 / 0.016643220,cosmo
solvent_461 / solvent_606,0.10 / 0.90,298.15,0.496900620 / 0.009335610,cosmo
solvent_311 / solvent_256,0.10 / 0.90,298.15,0.097982890 / 0.001781550,cosmo
solvent_274 / solvent_710,0.10 / 0.90,298.15,0.283258260 / 0.002475490,cosmo
solvent_375 / solvent_488,0.10 / 0.90,298.15,-0.14896752 / -0.00458925,cosmo
solvent_213 / solvent_573,0.10 / 0.90,298.15,-0.03214173 / 0.00059113,cosmo
solvent_315 / solvent_749,0.10 / 0.90,298.15,-0.24002871 / -0.00352229,cosmo
solvent_647 / solvent_708,0.10 / 0.90,298.15,-0.48880859 / 0.21494995,cosmo
solvent_353 / solvent_325,0.10 / 0.90,298.15,0.325545920 / 0.007638130,cosmo
solvent_315 / solvent_422,0.10 / 0.90,298.15,-1.17131667 / -0.020361,cosmo
solvent_539 / solvent_717,0.10 / 0.90,298.15,0.101047750 / 0.000731050,cosmo
solvent_382 / solvent_477,0.10 / 0.90,298.15,-0.58703974 / -0.00294804,cosmo
solvent_323 / solvent_539,0.10 / 0.90,298.15,-0.17245597 / -0.00281657,cosmo
solvent_787 / solvent_792,0.10 / 0.90,298.15,0.162182110 / 0.000669180,cosmo
solvent_263 / solvent_492,0.10 / 0.90,298.15,0.350879580 / 0.004351710,cosmo
solvent_388 / solvent_756,0.10 / 0.90,298.15,-0.47685865 / 0.00830052,cosmo
solvent_350 / solvent_754,0.10 / 0.90,298.15,-0.01068068 / -0.00135058,cosmo
solvent_719 / solvent_446,0.10 / 0.90,298.15,0.387174330 / 0.008822030,cosmo
solvent_279 / solvent_249,0.10 / 0.90,298.15,-0.19072886 / -0.00225944,cosmo
solvent_320 / solvent_598,0.10 / 0.90,298.15,0.375807060 / 0.002951860,cosmo
solvent_408 / solvent_188,0.10 / 0.90,298.15,-0.09369907 / 0.0056688,cosmo
solvent_468 / solvent_196,0.10 / 0.90,298.15,2.634168050 / 0.085377800,cosmo
solvent_286 / solvent_294,0.10 / 0.90,298.15,2.266190800 / 0.075449600,cosmo
solvent_362 / solvent_606,0.10 / 0.90,298.15,0.078158100 / 0.000897860,cosmo
solvent_312 / solvent_769,0.10 / 0.90,298.15,0.044630190 / 0.000360980,cosmo
solvent_408 / solvent_34,0.10 / 0.90,298.15,0.522984640 / 0.014172930,cosmo
solvent_228 / solvent_110,0.10 / 0.90,298.15,-0.04931829 / -0.00149852,cosmo
solvent_58 / solvent_704,0.10 / 0.90,298.15,1.342566550 / 0.007548240,cosmo
solvent_278 / solvent_670,0.10 / 0.90,298.15,1.067379700 / 0.013480400,cosmo
solvent_330 / solvent_36,0.10 / 0.90,298.15,1.719455920 / 0.026677740,cosmo
solvent_109 / solvent_649,0.10 / 0.90,298.15,0.053005070 / 0.001203990,cosmo
solvent_506 / solvent_789,0.10 / 0.90,298.15,0.716982280 / 0.022671040,cosmo
solvent_19 / solvent_596,0.10 / 0.90,298.15,1.826209800 / 0.039958410,cosmo
solvent_366 / solvent_461,0.10 / 0.90,298.15,0.086685940 / 0.000899500,cosmo
solvent_544 / solvent_725,0.10 / 0.90,298.15,0.433225410 / 0.003715520,cosmo
solvent_565 / solvent_660,0.10 / 0.90,298.15,-1.02036268 / -0.00544191,cosmo
solvent_646 / solvent_782,0.10 / 0.90,298.15,0.295566360 / 0.002489130,cosmo
solvent_745 / solvent_191,0.10 / 0.90,298.15,0.449993330 / 0.003264260,cosmo
solvent_298 / solvent_28,0.10 / 0.90,298.15,0.539776200 / 0.017186720,cosmo
solvent_424 / solvent_612,0.10 / 0.90,298.15,0.517132390 / 0.004529580,cosmo
solvent_526 / solvent_631,0.10 / 0.90,298.15,-0.72579631 / -0.01619071,cosmo
solvent_309 / solvent_403,0.10 / 0.90,298.15,1.302340870 / 0.011382250,cosmo
solvent_347 / solvent_640,0.10 / 0.90,298.15,-0.1578897 / -0.00259425,cosmo
solvent_370 / solvent_59,0.10 / 0.90,298.15,0.858584460 / 0.006121710,cosmo
solvent_298 / solvent_19,0.10 / 0.90,298.15,0.862466040 / 0.016643080,cosmo
solvent_407 / solvent_717,0.10 / 0.90,298.15,0.424980260 / 0.005582590,cosmo
solvent_656 / solvent_732,0.10 / 0.90,298.15,-0.31134187 / -0.00308174,cosmo
solvent_347 / solvent_413,0.10 / 0.90,298.15,0.903594440 / 0.012699300,cosmo
solvent_370 / solvent_659,0.10 / 0.90,298.15,0.049477480 / 0.000233620,cosmo
solvent_639 / solvent_88,0.10 / 0.90,298.15,-0.06610187 / -0.00073316,cosmo
solvent_567 / solvent_621,0.10 / 0.90,298.15,-0.76005428 / -0.03094814,cosmo
solvent_331 / solvent_1,0.10 / 0.90,298.15,1.251076440 / 0.014565270,cosmo
solvent_450 / solvent_761,0.10 / 0.90,298.15,0.792364550 / 0.009016590,cosmo
solvent_475 / solvent_723,0.10 / 0.90,298.15,-0.00680152 / -0.00011013,cosmo
solvent_66 / solvent_158,0.10 / 0.90,298.15,0.054861500 / 0.001857480,cosmo
solvent_503 / solvent_682,0.10 / 0.90,298.15,0.444629180 / 0.047833640,cosmo
solvent_453 / solvent_507,0.10 / 0.90,298.15,0.726570140 / 0.008914910,cosmo
solvent_272 / solvent_756,0.10 / 0.90,298.15,2.890993380 / 0.131150650,cosmo
solvent_519 / solvent_780,0.10 / 0.90,298.15,0.177941200 / 0.000894420,cosmo
solvent_360 / solvent_677,0.10 / 0.90,298.15,0.250610850 / 0.005709300,cosmo
solvent_427 / solvent_570,0.10 / 0.90,298.15,0.432327760 / 0.001422980,cosmo
solvent_158 / solvent_606,0.10 / 0.90,298.15,-0.00655235 / -0.00012712,cosmo
solvent_18 / solvent_781,0.10 / 0.90,298.15,-0.06197956 / -0.0006977,cosmo
solvent_353 / solvent_368,0.10 / 0.90,298.15,0.358978930 / 0.002199470,cosmo
solvent_420 / solvent_443,0.10 / 0.90,298.15,-0.04561182 / -0.00041657,cosmo
solvent_404 / solvent_370,0.10 / 0.90,298.15,-0.21444071 / -0.00318056,cosmo
solvent_424 / solvent_229,0.10 / 0.90,298.15,0.568922580 / 0.003189230,cosmo
solvent_645 / solvent_703,0.10 / 0.90,298.15,1.397429960 / 0.027180320,cosmo
solvent_357 / solvent_593,0.10 / 0.90,298.15,0.736638980 / 0.008549920,cosmo
solvent_185 / solvent_697,0.10 / 0.90,298.15,-0.00468957 / 0.0000553,cosmo
solvent_536 / solvent_741,0.10 / 0.90,298.15,1.078803160 / 0.004588140,cosmo
solvent_515 / solvent_787,0.10 / 0.90,298.15,-0.24783972 / -0.00571641,cosmo
solvent_671 / solvent_771,0.10 / 0.90,298.15,0.689568730 / 0.013289550,cosmo
solvent_451 / solvent_560,0.10 / 0.90,298.15,0.046311120 / 0.001639120,cosmo
solvent_607 / solvent_638,0.10 / 0.90,298.15,-2.56259198 / -0.01639036,cosmo
solvent_565 / solvent_610,0.10 / 0.90,298.15,0.483022890 / 0.005293820,cosmo
solvent_115 / solvent_8,0.10 / 0.90,298.15,0.180229380 / 0.001315010,cosmo
solvent_398 / solvent_609,0.10 / 0.90,298.15,-0.36800496 / -0.0039527,cosmo
solvent_263 / solvent_404,0.10 / 0.90,298.15,0.066431650 / 0.000777880,cosmo
solvent_456 / solvent_594,0.10 / 0.90,298.15,-0.80009399 / -0.00879097,cosmo
solvent_304 / solvent_373,0.10 / 0.90,298.15,0.201910230 / 0.001596250,cosmo
solvent_618 / solvent_707,0.10 / 0.90,298.15,-0.73198298 / -0.01031664,cosmo
solvent_406 / solvent_664,0.10 / 0.90,298.15,0.091321860 / 0.000940100,cosmo
solvent_164 / solvent_651,0.10 / 0.90,298.15,1.081785240 / 0.048991390,cosmo
solvent_538 / solvent_746,0.10 / 0.90,298.15,-0.31663225 / -0.01096406,cosmo
solvent_343 / solvent_444,0.10 / 0.90,298.15,0.058860650 / 0.000222640,cosmo
solvent_359 / solvent_770,0.10 / 0.90,298.15,0.312774090 / 0.006741450,cosmo
solvent_387 / solvent_6,0.10 / 0.90,298.15,-0.74744678 / -0.00718571,cosmo
solvent_341 / solvent_560,0.10 / 0.90,298.15,-0.01575436 / -0.0000651,cosmo
solvent_348 / solvent_396,0.10 / 0.90,298.15,-0.11524483 / -0.00069722,cosmo
solvent_479 / solvent_615,0.10 / 0.90,298.15,-0.25435945 / -0.00131263,cosmo
solvent_28 / solvent_121,0.10 / 0.90,298.15,1.217702700 / 0.015382140,cosmo
