solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_420 / solvent_728,0.00 / 1.00,298.15,0.194729500 / 0.000000000,cosmo
solvent_108 / solvent_470,0.00 / 1.00,298.15,0.605489430 / 0.000000000,cosmo
solvent_358 / solvent_675,0.00 / 1.00,298.15,1.283592820 / 0.000000000,cosmo
solvent_381 / solvent_188,0.00 / 1.00,298.15,1.947590130 / 0.000000000,cosmo
solvent_107 / solvent_594,0.00 / 1.00,298.15,-8.15720654 / 0,cosmo
solvent_297 / solvent_208,0.00 / 1.00,298.15,0.072151770 / 0.000000000,cosmo
solvent_284 / solvent_621,0.00 / 1.00,298.15,-0.86323361 / 0,cosmo
solvent_442 / solvent_499,0.00 / 1.00,298.15,-0.20843072 / 0,cosmo
solvent_290 / solvent_7,0.00 / 1.00,298.15,5.105376960 / 0.000000000,cosmo
solvent_28 / solvent_541,0.00 / 1.00,298.15,0.929042770 / 0.000000000,cosmo
solvent_38 / solvent_445,0.00 / 1.00,298.15,2.062940500 / 0.000000000,cosmo
solvent_160 / solvent_42,0.00 / 1.00,298.15,2.322195570 / 0.000000000,cosmo
solvent_291 / solvent_722,0.00 / 1.00,298.15,0.580900320 / 0.000000000,cosmo
solvent_545 / solvent_576,0.00 / 1.00,298.15,1.251817210 / 0.000000000,cosmo
solvent_699 / solvent_763,0.00 / 1.00,298.15,1.001089520 / 0.000000000,cosmo
solvent_293 / solvent_681,0.00 / 1.00,298.15,1.575214240 / 0.000000000,cosmo
solvent_311 / solvent_506,0.00 / 1.00,298.15,0.128121460 / 0.000000000,cosmo
solvent_401 / solvent_764,0.00 / 1.00,298.15,0.005682570 / 0.000000000,cosmo
solvent_310 / solvent_377,0.00 / 1.00,298.15,-0.06368931 / 0,cosmo
solvent_592 / solvent_610,0.00 / 1.00,298.15,2.411691500 / 0.000000000,cosmo
solvent_386 / solvent_82,0.00 / 1.00,298.15,0.138208720 / 0.000000000,cosmo
solvent_322 / solvent_797,0.00 / 1.00,298.15,-1.09337274 / 0,cosmo
solvent_305 / solvent_446,0.00 / 1.00,298.15,-0.05275391 / 0,cosmo
solvent_286 / solvent_93,0.00 / 1.00,298.15,5.195268760 / 0.000000000,cosmo
solvent_298 / solvent_72,0.00 / 1.00,298.15,3.423464610 / 0.000000000,cosmo
solvent_171 / solvent_676,0.00 / 1.00,298.15,-0.86576559 / 0,cosmo
solvent_375 / solvent_44,0.00 / 1.00,298.15,3.231043530 / 0.000000000,cosmo
solvent_370 / solvent_702,0.00 / 1.00,298.15,-0.19008263 / 0,cosmo
solvent_374 / solvent_614,0.00 / 1.00,298.15,0.006725680 / 0.000000000,cosmo
solvent_456 / solvent_613,0.00 / 1.00,298.15,-0.00732506 / 0,cosmo
solvent_144 / solvent_121,0.00 / 1.00,298.15,0.582057420 / 0.000000000,cosmo
solvent_464 / solvent_609,0.00 / 1.00,298.15,-0.65950281 / 0,cosmo
solvent_26 / solvent_625,0.00 / 1.00,298.15,3.847298440 / 0.000000000,cosmo
solvent_690 / solvent_791,0.00 / 1.00,298.15,-0.08916331 / 0,cosmo
solvent_349 / solvent_744,0.00 / 1.00,298.15,-0.4872889 / 0,cosmo
solvent_89 / solvent_751,0.00 / 1.00,298.15,0.782235560 / 0.000000000,cosmo
solvent_545 / solvent_767,0.00 / 1.00,298.15,-7.41160585 / 0,cosmo
solvent_267 / solvent_44,0.00 / 1.00,298.15,0.936509750 / 0.000000000,cosmo
solvent_4 / solvent_649,0.00 / 1.00,298.15,0.908627260 / 0.000000000,cosmo
solvent_50 / solvent_72,0.00 / 1.00,298.15,3.874981060 / 0.000000000,cosmo
solvent_556 / solvent_717,0.00 / 1.00,298.15,0.467422130 / 0.000000000,cosmo
solvent_55 / solvent_527,0.00 / 1.00,298.15,1.586987090 / 0.000000000,cosmo
solvent_410 / solvent_608,0.00 / 1.00,298.15,0.415401970 / 0.000000000,cosmo
solvent_124 / solvent_488,0.00 / 1.00,298.15,0.325982880 / 0.000000000,cosmo
solvent_556 / solvent_716,0.00 / 1.00,298.15,0.063711510 / 0.000000000,cosmo
solvent_759 / solvent_764,0.00 / 1.00,298.15,1.931032770 / 0.000000000,cosmo
solvent_296 / solvent_677,0.00 / 1.00,298.15,-0.08182243 / 0,cosmo
solvent_271 / solvent_626,0.00 / 1.00,298.15,1.213522470 / 0.000000000,cosmo
solvent_261 / solvent_669,0.00 / 1.00,298.15,-1.06738562 / 0,cosmo
solvent_411 / solvent_598,0.00 / 1.00,298.15,0.069183280 / 0.000000000,cosmo
solvent_374 / solvent_491,0.00 / 1.00,298.15,0.746240750 / 0.000000000,cosmo
solvent_270 / solvent_456,0.00 / 1.00,298.15,-0.02834181 / 0,cosmo
solvent_113 / solvent_524,0.00 / 1.00,298.15,2.968154340 / 0.000000000,cosmo
solvent_403 / solvent_551,0.00 / 1.00,298.15,2.060521020 / 0.000000000,cosmo
solvent_443 / solvent_487,0.00 / 1.00,298.15,-1.34586231 / 0,cosmo
solvent_433 / solvent_572,0.00 / 1.00,298.15,0.060408500 / 0.000000000,cosmo
solvent_382 / solvent_119,0.00 / 1.00,298.15,-2.30689586 / 0,cosmo
solvent_20 / solvent_551,0.00 / 1.00,298.15,0.965608350 / 0.000000000,cosmo
solvent_335 / solvent_745,0.00 / 1.00,298.15,0.450601150 / 0.000000000,cosmo
solvent_342 / solvent_560,0.00 / 1.00,298.15,0.023579780 / 0.000000000,cosmo
solvent_480 / solvent_763,0.00 / 1.00,298.15,0.451123320 / 0.000000000,cosmo
solvent_228 / solvent_680,0.00 / 1.00,298.15,0.119249840 / 0.000000000,cosmo
solvent_348 / solvent_211,0.00 / 1.00,298.15,0.054621110 / 0.000000000,cosmo
solvent_371 / solvent_60,0.00 / 1.00,298.15,0.408041920 / 0.000000000,cosmo
solvent_314 / solvent_420,0.00 / 1.00,298.15,-0.00550815 / 0,cosmo
solvent_590 / solvent_748,0.00 / 1.00,298.15,0.974624430 / 0.000000000,cosmo
solvent_413 / solvent_16,0.00 / 1.00,298.15,2.571032560 / 0.000000000,cosmo
solvent_475 / solvent_732,0.00 / 1.00,298.15,0.747728370 / 0.000000000,cosmo
solvent_379 / solvent_93,0.00 / 1.00,298.15,0.319489430 / 0.000000000,cosmo
solvent_452 / solvent_703,0.00 / 1.00,298.15,-0.04291328 / 0,cosmo
solvent_391 / solvent_750,0.00 / 1.00,298.15,0.055952780 / 0.000000000,cosmo
solvent_313 / solvent_462,0.00 / 1.00,298.15,-0.56160116 / 0,cosmo
solvent_115 / solvent_758,0.00 / 1.00,298.15,-0.22535404 / 0,cosmo
solvent_204 / solvent_387,0.00 / 1.00,298.15,2.144625830 / 0.000000000,cosmo
solvent_281 / solvent_18,0.00 / 1.00,298.15,0.055709040 / 0.000000000,cosmo
solvent_313 / solvent_46,0.00 / 1.00,298.15,1.630873080 / 0.000000000,cosmo
solvent_28 / solvent_740,0.00 / 1.00,298.15,-1.08160559 / 0,cosmo
solvent_268 / solvent_626,0.00 / 1.00,298.15,-0.4400148 / 0,cosmo
solvent_482 / solvent_773,0.00 / 1.00,298.15,-0.08891601 / 0,cosmo
solvent_208 / solvent_503,0.00 / 1.00,298.15,0.230730260 / 0.000000000,cosmo
solvent_211 / solvent_179,0.00 / 1.00,298.15,-0.40307167 / 0,cosmo
solvent_307 / solvent_484,0.00 / 1.00,298.15,0.123538980 / 0.000000000,cosmo
solvent_161 / solvent_678,0.00 / 1.00,298.15,-0.46045537 / 0,cosmo
solvent_424 / solvent_632,0.00 / 1.00,298.15,0.850619040 / 0.000000000,cosmo
solvent_515 / solvent_665,0.00 / 1.00,298.15,0.777286100 / 0.000000000,cosmo
solvent_330 / solvent_711,0.00 / 1.00,298.15,5.578120660 / 0.000000000,cosmo
solvent_373 / solvent_168,0.00 / 1.00,298.15,-1.09896898 / 0,cosmo
solvent_501 / solvent_507,0.00 / 1.00,298.15,0.861104870 / 0.000000000,cosmo
solvent_106 / solvent_721,0.00 / 1.00,298.15,-0.33656282 / 0,cosmo
solvent_459 / solvent_790,0.00 / 1.00,298.15,1.454504160 / 0.000000000,cosmo
solvent_461 / solvent_606,0.00 / 1.00,298.15,0.680717910 / 0.000000000,cosmo
solvent_311 / solvent_256,0.00 / 1.00,298.15,0.138454240 / 0.000000000,cosmo
solvent_274 / solvent_710,0.00 / 1.00,298.15,0.330310320 / 0.000000000,cosmo
solvent_375 / solvent_488,0.00 / 1.00,298.15,-0.22480171 / 0,cosmo
solvent_213 / solvent_573,0.00 / 1.00,298.15,-0.02095607 / 0,cosmo
solvent_315 / solvent_749,0.00 / 1.00,298.15,-0.46483527 / 0,cosmo
solvent_647 / solvent_708,0.00 / 1.00,298.15,3.478479050 / 0.000000000,cosmo
solvent_353 / solvent_325,0.00 / 1.00,298.15,0.489836780 / 0.000000000,cosmo
solvent_315 / solvent_422,0.00 / 1.00,298.15,-1.55357755 / 0,cosmo
solvent_539 / solvent_717,0.00 / 1.00,298.15,0.114856090 / 0.000000000,cosmo
solvent_382 / solvent_477,0.00 / 1.00,298.15,-0.62029617 / 0,cosmo
solvent_323 / solvent_539,0.00 / 1.00,298.15,-0.22694177 / 0,cosmo
solvent_787 / solvent_792,0.00 / 1.00,298.15,0.174508980 / 0.000000000,cosmo
solvent_263 / solvent_492,0.00 / 1.00,298.15,0.433168150 / 0.000000000,cosmo
solvent_388 / solvent_756,0.00 / 1.00,298.15,-0.25632927 / 0,cosmo
solvent_350 / solvent_754,0.00 / 1.00,298.15,-0.04045649 / 0,cosmo
solvent_719 / solvent_446,0.00 / 1.00,298.15,0.729829680 / 0.000000000,cosmo
solvent_279 / solvent_249,0.00 / 1.00,298.15,-0.23331974 / 0,cosmo
solvent_320 / solvent_598,0.00 / 1.00,298.15,0.433199310 / 0.000000000,cosmo
solvent_408 / solvent_188,0.00 / 1.00,298.15,0.043126340 / 0.000000000,cosmo
solvent_468 / solvent_196,0.00 / 1.00,298.15,4.436857350 / 0.000000000,cosmo
solvent_286 / solvent_294,0.00 / 1.00,298.15,4.054759020 / 0.000000000,cosmo
solvent_362 / solvent_606,0.00 / 1.00,298.15,0.094808770 / 0.000000000,cosmo
solvent_312 / solvent_769,0.00 / 1.00,298.15,0.051565920 / 0.000000000,cosmo
solvent_408 / solvent_34,0.00 / 1.00,298.15,0.699679650 / 0.000000000,cosmo
solvent_228 / solvent_110,0.00 / 1.00,298.15,-0.08004431 / 0,cosmo
solvent_58 / solvent_704,0.00 / 1.00,298.15,1.543107280 / 0.000000000,cosmo
solvent_278 / solvent_670,0.00 / 1.00,298.15,1.325226360 / 0.000000000,cosmo
solvent_330 / solvent_36,0.00 / 1.00,298.15,2.248283090 / 0.000000000,cosmo
solvent_109 / solvent_649,0.00 / 1.00,298.15,0.074959560 / 0.000000000,cosmo
solvent_506 / solvent_789,0.00 / 1.00,298.15,1.220227210 / 0.000000000,cosmo
solvent_19 / solvent_596,0.00 / 1.00,298.15,2.652999330 / 0.000000000,cosmo
solvent_366 / solvent_461,0.00 / 1.00,298.15,0.103592030 / 0.000000000,cosmo
solvent_544 / solvent_725,0.00 / 1.00,298.15,0.500110280 / 0.000000000,cosmo
solvent_565 / solvent_660,0.00 / 1.00,298.15,-1.09739694 / 0,cosmo
solvent_646 / solvent_782,0.00 / 1.00,298.15,0.342227490 / 0.000000000,cosmo
solvent_745 / solvent_191,0.00 / 1.00,298.15,0.510668640 / 0.000000000,cosmo
solvent_298 / solvent_28,0.00 / 1.00,298.15,0.884370130 / 0.000000000,cosmo
solvent_424 / solvent_612,0.00 / 1.00,298.15,0.497346070 / 0.000000000,cosmo
solvent_526 / solvent_631,0.00 / 1.00,298.15,-1.04872783 / 0,cosmo
solvent_309 / solvent_403,0.00 / 1.00,298.15,1.516868510 / 0.000000000,cosmo
solvent_347 / solvent_640,0.00 / 1.00,298.15,-0.20842047 / 0,cosmo
solvent_370 / solvent_59,0.00 / 1.00,298.15,0.973177930 / 0.000000000,cosmo
solvent_298 / solvent_19,0.00 / 1.00,298.15,1.194222420 / 0.000000000,cosmo
solvent_407 / solvent_717,0.00 / 1.00,298.15,0.542637960 / 0.000000000,cosmo
solvent_656 / solvent_732,0.00 / 1.00,298.15,-0.3708998 / 0,cosmo
solvent_347 / solvent_413,0.00 / 1.00,298.15,1.149266280 / 0.000000000,cosmo
solvent_370 / solvent_659,0.00 / 1.00,298.15,0.054298000 / 0.000000000,cosmo
solvent_639 / solvent_88,0.00 / 1.00,298.15,-0.08054406 / 0,cosmo
solvent_567 / solvent_621,0.00 / 1.00,298.15,-1.34731138 / 0,cosmo
solvent_331 / solvent_1,0.00 / 1.00,298.15,1.531591510 / 0.000000000,cosmo
solvent_450 / solvent_761,0.00 / 1.00,298.15,0.963274430 / 0.000000000,cosmo
solvent_475 / solvent_723,0.00 / 1.00,298.15,-0.00894887 / 0,cosmo
solvent_66 / solvent_158,0.00 / 1.00,298.15,0.094443710 / 0.000000000,cosmo
solvent_503 / solvent_682,0.00 / 1.00,298.15,1.740083120 / 0.000000000,cosmo
solvent_453 / solvent_507,0.00 / 1.00,298.15,0.896374020 / 0.000000000,cosmo
solvent_272 / solvent_756,0.00 / 1.00,298.15,5.725256360 / 0.000000000,cosmo
solvent_519 / solvent_780,0.00 / 1.00,298.15,0.182571650 / 0.000000000,cosmo
solvent_360 / solvent_677,0.00 / 1.00,298.15,0.365103540 / 0.000000000,cosmo
solvent_427 / solvent_570,0.00 / 1.00,298.15,0.458819910 / 0.000000000,cosmo
solvent_158 / solvent_606,0.00 / 1.00,298.15,-0.00931775 / 0,cosmo
solvent_18 / solvent_781,0.00 / 1.00,298.15,-0.07519826 / 0,cosmo
solvent_353 / solvent_368,0.00 / 1.00,298.15,0.399909610 / 0.000000000,cosmo
solvent_420 / solvent_443,0.00 / 1.00,298.15,-0.05338433 / 0,cosmo
solvent_404 / solvent_370,0.00 / 1.00,298.15,-0.27500479 / 0,cosmo
solvent_424 / solvent_229,0.00 / 1.00,298.15,0.613219100 / 0.000000000,cosmo
solvent_645 / solvent_703,0.00 / 1.00,298.15,2.061974940 / 0.000000000,cosmo
solvent_357 / solvent_593,0.00 / 1.00,298.15,0.898783850 / 0.000000000,cosmo
solvent_185 / solvent_697,0.00 / 1.00,298.15,-0.00398367 / 0,cosmo
solvent_536 / solvent_741,0.00 / 1.00,298.15,1.162093740 / 0.000000000,cosmo
solvent_515 / solvent_787,0.00 / 1.00,298.15,-0.35793356 / 0,cosmo
solvent_671 / solvent_771,0.00 / 1.00,298.15,0.954620230 / 0.000000000,cosmo
solvent_451 / solvent_560,0.00 / 1.00,298.15,0.079935410 / 0.000000000,cosmo
solvent_607 / solvent_638,0.00 / 1.00,298.15,-2.86153055 / 0,cosmo
solvent_565 / solvent_610,0.00 / 1.00,298.15,0.614943800 / 0.000000000,cosmo
solvent_115 / solvent_8,0.00 / 1.00,298.15,0.203401170 / 0.000000000,cosmo
solvent_398 / solvent_609,0.00 / 1.00,298.15,-0.43998153 / 0,cosmo
solvent_263 / solvent_404,0.00 / 1.00,298.15,0.081110750 / 0.000000000,cosmo
solvent_456 / solvent_594,0.00 / 1.00,298.15,-0.9625242 / 0,cosmo
solvent_304 / solvent_373,0.00 / 1.00,298.15,0.231442870 / 0.000000000,cosmo
solvent_618 / solvent_707,0.00 / 1.00,298.15,-0.90612428 / 0,cosmo
solvent_406 / solvent_664,0.00 / 1.00,298.15,0.107197810 / 0.000000000,cosmo
solvent_164 / solvent_651,0.00 / 1.00,298.15,2.414996700 / 0.000000000,cosmo
solvent_538 / solvent_746,0.00 / 1.00,298.15,-0.5359798 / 0,cosmo
solvent_343 / solvent_444,0.00 / 1.00,298.15,0.060243010 / 0.000000000,cosmo
solvent_359 / solvent_770,0.00 / 1.00,298.15,0.444816990 / 0.000000000,cosmo
solvent_387 / solvent_6,0.00 / 1.00,298.15,-0.87650395 / 0,cosmo
solvent_341 / solvent_560,0.00 / 1.00,298.15,-0.0173273 / 0,cosmo
solvent_348 / solvent_396,0.00 / 1.00,298.15,-0.12476727 / 0,cosmo
solvent_479 / solvent_615,0.00 / 1.00,298.15,-0.2785351 / 0,cosmo
solvent_28 / solvent_121,0.00 / 1.00,298.15,1.512488200 / 0.000000000,cosmo
solvent_278 / solvent_575,0.00 / 1.00,298.15,-0.45798361 / 0,cosmo
solvent_640 / solvent_672,0.00 / 1.00,298.15,0.241233360 / 0.000000000,cosmo
solvent_98 / solvent_670,0.00 / 1.00,298.15,0.660748980 / 0.000000000,cosmo
solvent_560 / solvent_7,0.00 / 1.00,298.15,0.287541840 / 0.000000000,cosmo
solvent_570 / solvent_7,0.00 / 1.00,298.15,0.811881010 / 0.000000000,cosmo
solvent_465 / solvent_673,0.00 / 1.00,298.15,-0.01458785 / 0,cosmo
solvent_341 / solvent_524,0.00 / 1.00,298.15,0.090098220 / 0.000000000,cosmo
solvent_392 / solvent_249,0.00 / 1.00,298.15,0.314762690 / 0.000000000,cosmo
