solv_i_id,molefrac_i,ln_gamma_i
solvent_96 / solvent_482 / solvent_653,0.33 / 0.33 / 0.34,0.717301960 / 1.842480060 / 1.573093060
solvent_165 / solvent_316 / solvent_830,0.33 / 0.33 / 0.34,-0.030538950 / 0.032168090 / -0.334714990
solvent_178 / solvent_316 / solvent_336,0.33 / 0.33 / 0.34,-0.127758410 / -0.244259290 / -0.315072410
solvent_266 / solvent_498 / solvent_727,0.33 / 0.33 / 0.34,-0.091788040 / 0.099661670 / 0.351671250
solvent_339 / solvent_531 / solvent_719,0.33 / 0.33 / 0.34,0.218167380 / 0.800575110 / 0.228720240
solvent_150 / solvent_535 / solvent_799,0.33 / 0.33 / 0.34,-0.119136560 / 0.799934350 / 0.184495640
solvent_378 / solvent_558 / solvent_605,0.33 / 0.33 / 0.34,0.093909540 / 0.699139090 / -0.091643830
solvent_593 / solvent_646 / solvent_751,0.33 / 0.33 / 0.34,0.032144600 / -0.922008310 / -1.183971080
solvent_103 / solvent_300 / solvent_790,0.33 / 0.33 / 0.34,0.040867990 / 0.046056170 / 0.138558250
solvent_17 / solvent_54 / solvent_763,0.33 / 0.33 / 0.34,-0.002161130 / 0.159192550 / -0.031190540
solvent_108 / solvent_275 / solvent_372,0.33 / 0.33 / 0.34,0.909607240 / 0.237875310 / 0.584187150
solvent_24 / solvent_414 / solvent_563,0.33 / 0.33 / 0.34,0.557173310 / 0.233956470 / 0.355960910
solvent_28 / solvent_181 / solvent_527,0.33 / 0.33 / 0.34,0.129961600 / 0.311766970 / 0.503440550
solvent_69 / solvent_510 / solvent_594,0.33 / 0.33 / 0.34,0.025297900 / -0.038750410 / -0.098991000
solvent_268 / solvent_615 / solvent_660,0.33 / 0.33 / 0.34,-0.180726150 / 0.016439730 / 0.005355930
solvent_189 / solvent_255 / solvent_841,0.33 / 0.33 / 0.34,-0.087417580 / 0.875295920 / 0.063834320
solvent_382 / solvent_465 / solvent_533,0.33 / 0.33 / 0.34,-0.807467970 / 0.610380200 / -3.113461340
solvent_86 / solvent_368 / solvent_717,0.33 / 0.33 / 0.34,-0.023657660 / -0.179402680 / -0.011190220
solvent_265 / solvent_345 / solvent_558,0.33 / 0.33 / 0.34,0.284812150 / 0.066609180 / 0.312861130
solvent_54 / solvent_81 / solvent_197,0.33 / 0.33 / 0.34,0.025334470 / 0.343846480 / -0.073781050
solvent_313 / solvent_438 / solvent_621,0.33 / 0.33 / 0.34,0.271818150 / 0.114261060 / 0.023907330
solvent_179 / solvent_311 / solvent_691,0.33 / 0.33 / 0.34,-0.075369840 / 0.077465700 / -0.006399380
solvent_163 / solvent_466 / solvent_660,0.33 / 0.33 / 0.34,0.304853310 / 0.121764090 / 0.001882290
solvent_482 / solvent_689 / solvent_713,0.33 / 0.33 / 0.34,1.417694040 / 0.421276360 / 0.652563650
solvent_106 / solvent_315 / solvent_604,0.33 / 0.33 / 0.34,0.297675460 / -0.267313810 / -0.168521840
solvent_182 / solvent_345 / solvent_452,0.33 / 0.33 / 0.34,-0.893264520 / 0.624817670 / -1.020431010
solvent_70 / solvent_353 / solvent_725,0.33 / 0.33 / 0.34,-0.061243750 / -0.115629820 / 0.238026130
solvent_314 / solvent_422 / solvent_818,0.33 / 0.33 / 0.34,-0.070249190 / 0.064555380 / 0.078007160
solvent_178 / solvent_339 / solvent_547,0.33 / 0.33 / 0.34,-0.258633910 / -0.058919230 / -0.006457770
solvent_53 / solvent_135 / solvent_628,0.33 / 0.33 / 0.34,-0.083767060 / -0.196803710 / 0.146804190
solvent_300 / solvent_432 / solvent_773,0.33 / 0.33 / 0.34,0.053845700 / 0.032437040 / -0.026581570
solvent_677 / solvent_758 / solvent_788,0.33 / 0.33 / 0.34,1.125112970 / -0.114421690 / -0.083630640
solvent_378 / solvent_396 / solvent_751,0.33 / 0.33 / 0.34,-0.883463000 / -0.356938330 / -0.615648850
solvent_202 / solvent_533 / solvent_793,0.33 / 0.33 / 0.34,0.000937000 / -3.587909740 / -0.246202670
solvent_111 / solvent_664 / solvent_766,0.33 / 0.33 / 0.34,0.023238640 / 0.513108310 / 0.019117290
solvent_41 / solvent_44 / solvent_540,0.33 / 0.33 / 0.34,0.981077160 / -0.168664060 / -0.934119680
solvent_138 / solvent_705 / solvent_755,0.33 / 0.33 / 0.34,0.048482450 / 1.500596350 / 0.711658140
solvent_4 / solvent_12 / solvent_48,0.33 / 0.33 / 0.34,-0.433616820 / 0.058938190 / -0.066590930
solvent_189 / solvent_313 / solvent_428,0.33 / 0.33 / 0.34,0.157327410 / 0.538028620 / 0.292179220
solvent_255 / solvent_280 / solvent_496,0.33 / 0.33 / 0.34,0.931130930 / -0.159684600 / 0.084248120
solvent_115 / solvent_379 / solvent_593,0.33 / 0.33 / 0.34,0.258103610 / 0.084469140 / 0.008993680
solvent_141 / solvent_616 / solvent_667,0.33 / 0.33 / 0.34,-0.095568730 / -0.040121720 / -0.069769040
solvent_314 / solvent_322 / solvent_687,0.33 / 0.33 / 0.34,0.383072820 / 0.039346730 / 0.162607850
solvent_44 / solvent_123 / solvent_748,0.33 / 0.33 / 0.34,0.367235410 / -0.508798670 / -0.403153710
solvent_24 / solvent_120 / solvent_190,0.33 / 0.33 / 0.34,0.415161850 / 0.721155730 / 0.051679450
solvent_221 / solvent_403 / solvent_594,0.33 / 0.33 / 0.34,0.744734410 / 0.041799270 / -0.100123700
solvent_34 / solvent_391 / solvent_673,0.33 / 0.33 / 0.34,-0.064517620 / 0.000045640 / 0.030196250
solvent_181 / solvent_213 / solvent_593,0.33 / 0.33 / 0.34,0.054070320 / -0.186155370 / 0.186167150
solvent_131 / solvent_172 / solvent_378,0.33 / 0.33 / 0.34,0.611501140 / 0.135476990 / 0.120246970
solvent_268 / solvent_340 / solvent_347,0.33 / 0.33 / 0.34,0.092007460 / 0.111557410 / 0.139233930
solvent_35 / solvent_193 / solvent_660,0.33 / 0.33 / 0.34,-0.015405270 / -0.012403170 / -0.039097740
solvent_412 / solvent_441 / solvent_685,0.33 / 0.33 / 0.34,0.558501850 / 0.258636680 / -0.036677660
solvent_36 / solvent_499 / solvent_508,0.33 / 0.33 / 0.34,0.141944700 / 0.343629710 / 0.467149860
solvent_63 / solvent_304 / solvent_406,0.33 / 0.33 / 0.34,0.184703030 / 0.258896640 / 0.261608930
solvent_163 / solvent_297 / solvent_331,0.33 / 0.33 / 0.34,0.113934660 / -0.000595910 / -0.657800990
solvent_62 / solvent_322 / solvent_361,0.33 / 0.33 / 0.34,0.246249380 / 0.298690030 / 0.202017180
solvent_513 / solvent_659 / solvent_829,0.33 / 0.33 / 0.34,-0.122860870 / -0.002935710 / 0.061120080
solvent_149 / solvent_351 / solvent_789,0.33 / 0.33 / 0.34,0.319664170 / 0.435500800 / 0.287582360
solvent_81 / solvent_612 / solvent_836,0.33 / 0.33 / 0.34,0.301112880 / 0.049438330 / -0.006508690
solvent_53 / solvent_487 / solvent_796,0.33 / 0.33 / 0.34,-0.401443210 / 0.603514240 / 0.864630050
solvent_25 / solvent_399 / solvent_477,0.33 / 0.33 / 0.34,-0.493214130 / 0.325228180 / 0.790021980
solvent_45 / solvent_220 / solvent_773,0.33 / 0.33 / 0.34,0.391429320 / 0.000485900 / -0.597494760
solvent_10 / solvent_373 / solvent_671,0.33 / 0.33 / 0.34,-0.050221740 / -0.098940290 / -0.025028210
solvent_137 / solvent_357 / solvent_677,0.33 / 0.33 / 0.34,0.643307210 / 0.076568400 / 0.844940390
solvent_436 / solvent_438 / solvent_652,0.33 / 0.33 / 0.34,0.255524540 / -0.218787380 / 0.657605510
solvent_136 / solvent_373 / solvent_704,0.33 / 0.33 / 0.34,0.005158370 / -0.004074690 / -0.012850030
solvent_243 / solvent_303 / solvent_681,0.33 / 0.33 / 0.34,0.242105210 / -0.174847170 / 0.030791000
solvent_14 / solvent_584 / solvent_764,0.33 / 0.33 / 0.34,-0.026715190 / 0.228169580 / 0.019740170
solvent_254 / solvent_456 / solvent_583,0.33 / 0.33 / 0.34,-0.000017040 / -0.001255460 / 0.088616910
solvent_450 / solvent_467 / solvent_575,0.33 / 0.33 / 0.34,0.042448410 / -0.018870490 / 0.053793620
solvent_108 / solvent_313 / solvent_753,0.33 / 0.33 / 0.34,0.311708890 / 0.673344920 / 0.066766810
solvent_413 / solvent_438 / solvent_819,0.33 / 0.33 / 0.34,0.371369820 / 0.445495250 / 0.303028060
solvent_9 / solvent_105 / solvent_560,0.33 / 0.33 / 0.34,-0.177122660 / -0.161601510 / 0.122196110
solvent_247 / solvent_271 / solvent_657,0.33 / 0.33 / 0.34,-0.040172950 / -0.038406100 / 0.027516530
solvent_267 / solvent_412 / solvent_457,0.33 / 0.33 / 0.34,0.249254260 / -0.027533530 / 0.517549470
solvent_430 / solvent_460 / solvent_515,0.33 / 0.33 / 0.34,0.235329720 / 0.314855630 / 1.295422720
solvent_372 / solvent_711 / solvent_722,0.33 / 0.33 / 0.34,0.150721420 / 0.740712530 / -0.467459830
solvent_173 / solvent_383 / solvent_520,0.33 / 0.33 / 0.34,-0.313215510 / -0.170044580 / 0.149904070
solvent_70 / solvent_578 / solvent_718,0.33 / 0.33 / 0.34,0.447185160 / 0.329587800 / 0.117835500
solvent_430 / solvent_459 / solvent_624,0.33 / 0.33 / 0.34,0.031265390 / 0.108098860 / 0.433382350
solvent_41 / solvent_507 / solvent_535,0.33 / 0.33 / 0.34,-0.091425630 / 0.391834410 / 0.447792080
solvent_12 / solvent_493 / solvent_718,0.33 / 0.33 / 0.34,0.165955410 / 0.168610120 / 0.149624080
solvent_3 / solvent_13 / solvent_592,0.33 / 0.33 / 0.34,0.064256170 / 0.028350080 / 0.002095860
solvent_174 / solvent_304 / solvent_347,0.33 / 0.33 / 0.34,0.014224770 / 0.088984440 / 0.076550590
solvent_136 / solvent_246 / solvent_827,0.33 / 0.33 / 0.34,0.048041520 / 0.118084300 / 0.014351820
solvent_11 / solvent_506 / solvent_573,0.33 / 0.33 / 0.34,-0.036943810 / 0.071258930 / 0.110377920
solvent_287 / solvent_483 / solvent_818,0.33 / 0.33 / 0.34,0.074772670 / -0.056063430 / -0.189895010
solvent_164 / solvent_417 / solvent_509,0.33 / 0.33 / 0.34,0.258473360 / -0.117703360 / 0.416887930
solvent_225 / solvent_312 / solvent_389,0.33 / 0.33 / 0.34,0.177030230 / -1.126371010 / -0.094664770
solvent_204 / solvent_261 / solvent_408,0.33 / 0.33 / 0.34,0.048420870 / 0.091106320 / 0.034437390
solvent_142 / solvent_624 / solvent_674,0.33 / 0.33 / 0.34,0.006295410 / 0.397409390 / 0.504840150
solvent_245 / solvent_639 / solvent_815,0.33 / 0.33 / 0.34,0.156488620 / -1.100029070 / -0.822142380
solvent_92 / solvent_504 / solvent_535,0.33 / 0.33 / 0.34,0.439958390 / 0.339477240 / 0.694843980
solvent_99 / solvent_757 / solvent_840,0.33 / 0.33 / 0.34,0.200111470 / 0.797047870 / 1.574964070
solvent_280 / solvent_403 / solvent_590,0.33 / 0.33 / 0.34,0.157356620 / -0.158477260 / -0.245366420
solvent_227 / solvent_455 / solvent_735,0.33 / 0.33 / 0.34,0.081636620 / 0.363827080 / -0.064909900
solvent_107 / solvent_157 / solvent_231,0.33 / 0.33 / 0.34,0.103489980 / 0.201652280 / 0.185784100
solvent_133 / solvent_145 / solvent_572,0.33 / 0.33 / 0.34,0.220742060 / -0.157404320 / -0.501171190
solvent_71 / solvent_314 / solvent_439,0.33 / 0.33 / 0.34,0.018053060 / 0.857124480 / 0.598507280
solvent_508 / solvent_510 / solvent_722,0.33 / 0.33 / 0.34,0.291494380 / 0.326119360 / 0.539513070
solvent_180 / solvent_559 / solvent_665,0.33 / 0.33 / 0.34,-0.210634170 / -0.025340840 / -0.030597370
solvent_272 / solvent_386 / solvent_556,0.33 / 0.33 / 0.34,0.050438440 / -0.799691100 / -1.280440950
solvent_140 / solvent_438 / solvent_514,0.33 / 0.33 / 0.34,0.009085190 / -0.025775800 / 0.190271940
solvent_235 / solvent_662 / solvent_700,0.33 / 0.33 / 0.34,0.517442540 / 0.241793460 / 0.505575260
solvent_154 / solvent_639 / solvent_663,0.33 / 0.33 / 0.34,0.035975500 / -0.037338520 / -0.131240190
solvent_67 / solvent_465 / solvent_487,0.33 / 0.33 / 0.34,-0.203449010 / -0.016530940 / -0.234861050
solvent_238 / solvent_618 / solvent_657,0.33 / 0.33 / 0.34,-0.009529730 / -0.001758860 / 0.003849690
solvent_125 / solvent_376 / solvent_527,0.33 / 0.33 / 0.34,0.118621170 / -0.015929080 / 0.248285110
solvent_21 / solvent_406 / solvent_474,0.33 / 0.33 / 0.34,0.076947120 / 0.029179510 / 0.035754780
solvent_67 / solvent_307 / solvent_760,0.33 / 0.33 / 0.34,0.179717880 / 0.235460200 / 0.232539320
solvent_89 / solvent_391 / solvent_494,0.33 / 0.33 / 0.34,0.149150030 / 0.266811650 / 0.126143510
solvent_9 / solvent_536 / solvent_791,0.33 / 0.33 / 0.34,0.069127550 / -0.102394370 / -0.274307480
solvent_289 / solvent_412 / solvent_819,0.33 / 0.33 / 0.34,0.399878600 / 0.019276670 / -0.216658340
solvent_214 / solvent_306 / solvent_687,0.33 / 0.33 / 0.34,0.183462130 / 0.157225420 / 0.059372600
solvent_220 / solvent_439 / solvent_611,0.33 / 0.33 / 0.34,1.129900990 / 1.162799680 / 0.473136910
solvent_57 / solvent_393 / solvent_755,0.33 / 0.33 / 0.34,0.310525830 / 0.233483970 / 0.656138010
solvent_269 / solvent_344 / solvent_740,0.33 / 0.33 / 0.34,0.150207820 / -0.110014110 / 0.195327910
solvent_193 / solvent_389 / solvent_659,0.33 / 0.33 / 0.34,0.334766030 / 0.005816770 / -0.083287840
solvent_345 / solvent_535 / solvent_676,0.33 / 0.33 / 0.34,-0.008823070 / 0.147816430 / 0.169203250
solvent_88 / solvent_91 / solvent_387,0.33 / 0.33 / 0.34,0.552428260 / 0.048084600 / 0.199698590
solvent_135 / solvent_367 / solvent_450,0.33 / 0.33 / 0.34,-0.147097140 / -0.136831080 / 0.120822700
solvent_329 / solvent_341 / solvent_844,0.33 / 0.33 / 0.34,0.143719960 / 1.327012240 / 1.580207070
solvent_250 / solvent_360 / solvent_425,0.33 / 0.33 / 0.34,-0.128682360 / 0.008709160 / 0.107599150
solvent_251 / solvent_520 / solvent_671,0.33 / 0.33 / 0.34,0.043190050 / 0.114535840 / 0.283870130
solvent_63 / solvent_447 / solvent_828,0.33 / 0.33 / 0.34,0.636164600 / 1.142434540 / 0.412291430
solvent_15 / solvent_584 / solvent_593,0.33 / 0.33 / 0.34,0.025333090 / 0.064597250 / 0.033068800
solvent_137 / solvent_176 / solvent_787,0.33 / 0.33 / 0.34,0.105249770 / -0.083191800 / -0.046437220
solvent_222 / solvent_443 / solvent_697,0.33 / 0.33 / 0.34,0.138725710 / 0.205568560 / 0.273297060
solvent_73 / solvent_378 / solvent_634,0.33 / 0.33 / 0.34,0.045046630 / 0.024538540 / -0.023280840
solvent_111 / solvent_216 / solvent_820,0.33 / 0.33 / 0.34,-0.053576550 / 0.190636470 / 0.107236430
solvent_73 / solvent_102 / solvent_670,0.33 / 0.33 / 0.34,-0.023443230 / 0.052297420 / 0.065259720
solvent_394 / solvent_570 / solvent_722,0.33 / 0.33 / 0.34,0.778258670 / 1.217465330 / -3.123886220
solvent_142 / solvent_597 / solvent_673,0.33 / 0.33 / 0.34,0.030807640 / 0.318543540 / 0.547829830
solvent_82 / solvent_181 / solvent_234,0.33 / 0.33 / 0.34,0.611167460 / 0.132924100 / 0.509782100
solvent_378 / solvent_558 / solvent_629,0.33 / 0.33 / 0.34,0.165921280 / 0.657268060 / 0.008720910
solvent_4 / solvent_718 / solvent_786,0.33 / 0.33 / 0.34,-0.084846320 / 0.301370500 / 0.325413950
solvent_151 / solvent_315 / solvent_752,0.33 / 0.33 / 0.34,0.156714930 / 0.414538360 / -0.018429610
solvent_109 / solvent_227 / solvent_664,0.33 / 0.33 / 0.34,0.371172850 / 0.273201700 / 0.512338690
solvent_20 / solvent_160 / solvent_549,0.33 / 0.33 / 0.34,0.259126180 / 0.337160890 / 0.010823720
solvent_80 / solvent_86 / solvent_610,0.33 / 0.33 / 0.34,0.442365730 / 0.285708360 / -0.028508220
solvent_169 / solvent_381 / solvent_747,0.33 / 0.33 / 0.34,-0.028064120 / 0.063192090 / 0.047677860
solvent_260 / solvent_345 / solvent_419,0.33 / 0.33 / 0.34,0.203952690 / 0.107625090 / 0.048691660
solvent_25 / solvent_127 / solvent_536,0.33 / 0.33 / 0.34,-0.220834240 / 0.441331490 / -0.214097230
solvent_118 / solvent_440 / solvent_521,0.33 / 0.33 / 0.34,0.295763350 / 0.138269710 / 0.371740930
solvent_67 / solvent_277 / solvent_618,0.33 / 0.33 / 0.34,0.131726250 / -0.027362670 / -0.133044830
solvent_170 / solvent_239 / solvent_549,0.33 / 0.33 / 0.34,0.194046910 / 0.060894290 / -0.446042920
solvent_227 / solvent_561 / solvent_773,0.33 / 0.33 / 0.34,0.033038570 / 0.128605760 / -0.101794220
solvent_205 / solvent_356 / solvent_742,0.33 / 0.33 / 0.34,-0.509090280 / -0.319739540 / 0.050782180
solvent_18 / solvent_498 / solvent_667,0.33 / 0.33 / 0.34,-0.056269830 / 0.266181200 / 0.225404060
solvent_87 / solvent_446 / solvent_625,0.33 / 0.33 / 0.34,0.103645150 / 0.270842530 / 0.549093280
solvent_481 / solvent_588 / solvent_676,0.33 / 0.33 / 0.34,-0.079399790 / -0.259347410 / 0.012920360
solvent_336 / solvent_443 / solvent_776,0.33 / 0.33 / 0.34,0.125060200 / -0.179665000 / -0.720147180
solvent_511 / solvent_712 / solvent_835,0.33 / 0.33 / 0.34,0.161312910 / 0.053563230 / -0.027511930
solvent_124 / solvent_154 / solvent_193,0.33 / 0.33 / 0.34,-0.087790120 / -0.065886990 / 0.092405250
solvent_411 / solvent_588 / solvent_766,0.33 / 0.33 / 0.34,0.208257980 / 0.027409980 / 0.032368980
solvent_446 / solvent_480 / solvent_605,0.33 / 0.33 / 0.34,0.543802790 / 0.187861830 / 0.094000770
solvent_44 / solvent_498 / solvent_621,0.33 / 0.33 / 0.34,0.338456170 / 0.003463120 / 0.564706030
solvent_193 / solvent_370 / solvent_639,0.33 / 0.33 / 0.34,0.200813450 / -0.184501140 / -0.113054150
solvent_375 / solvent_571 / solvent_723,0.33 / 0.33 / 0.34,0.129296620 / -0.404018040 / -0.043881150
solvent_61 / solvent_82 / solvent_297,0.33 / 0.33 / 0.34,0.048844990 / -0.040476800 / -0.062428320
solvent_105 / solvent_616 / solvent_749,0.33 / 0.33 / 0.34,0.123414690 / 0.025343280 / 0.284987460
solvent_132 / solvent_329 / solvent_721,0.33 / 0.33 / 0.34,0.108446820 / 0.218901920 / 0.326085230
solvent_45 / solvent_122 / solvent_827,0.33 / 0.33 / 0.34,0.009407330 / -0.025887850 / -0.024017300
solvent_169 / solvent_294 / solvent_421,0.33 / 0.33 / 0.34,0.019314260 / 0.005962070 / 0.069523270
solvent_105 / solvent_315 / solvent_831,0.33 / 0.33 / 0.34,0.026879170 / 0.108517530 / 0.350038790
solvent_435 / solvent_651 / solvent_778,0.33 / 0.33 / 0.34,0.050954660 / 0.080842490 / -0.354191100
solvent_452 / solvent_679 / solvent_793,0.33 / 0.33 / 0.34,-0.741209950 / 0.343923660 / -0.551036870
